,prompt,label
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .
","Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She wants to marry the man and needs it to be legitimate in the eyes of the church
2.She is the man 's ex - wife , and is trying to get a divorce settlement
3.None of the above choices .

Response: 1
Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She is the man 's ex - wife , and is trying to get a divorce settlement
2.None of the above choices .
3.She wants to make sure that everything is above board and by the books

Response: 3
Context: Should he continue to pay half the mortgage and not live in the house ? I am pretty sure if she tries to qualify for the mortgage alone , she wo nt qualify . Because of this ... will he have to continue to pay half the mortgage and also pay rent wherever he will be living next ? ( I agreed to let him stay at my house for a while until he gets his feet on the ground , but I want to help him make the right decision and not get screwed over financially ) I do n't usually ask for advice in the lounge ... so maybe I can get an overwhelming response on how to help out with this situation .
Question: Why is the narrator pondering this question ?
Options:
0.The couple is getting a divorce .
1.The couple is   getting married .
2.The couple is buying a new house together .
3.The couple is looking into a new house .

Response: 0
Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .

Response: 1"
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .
","Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She wants to marry the man and needs it to be legitimate in the eyes of the church
2.She is the man 's ex - wife , and is trying to get a divorce settlement
3.None of the above choices .

Response: 1
Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She is the man 's ex - wife , and is trying to get a divorce settlement
2.None of the above choices .
3.She wants to make sure that everything is above board and by the books

Response: 3
Context: It sounds like a pretty cool job . I did not get to spend a lot of time with Heather , but since she is going to be in my wedding , we will get to talk more in a month . HolyCrapIGetMarriedInAMonth!Scary . Here are pictures from our trip . Heather & SeanThe wedding was on a farm . I liked the pig . I dragged everyone to the San Diego beach .
Question: What is the reason for this celebration ?
Options:
0.Heather 's friend decided to get married .
1.The is a   big anniversary party coming up and celebration is due
2.There is a party to celebrate five years of marriage .
3.None of the above choices .

Response: 0
Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .

Response: 0"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon
","Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.None of the above choices .
2.He saw you in the hospital
3.Because he is an impressive man , has a huge heart , and is involved with the youth minsitry .

Response: 3
Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.He was in a serious motorcycle accident and is in the hospital .
2.He saw you in the hospital
3.None of the above choices .

Response: 1
Context: I tried to rise but immediately was blown off his feet by the shockwave of debris scattered by the collision . Hurtling through the air backwards after getting hit by a lump of rock I landed just three feet from the man whom I 'd ignored last night . I could hear the man wheezing and when I looked across I caught his eyes , and saw a fear I did n't anticipate .
Question: How will these people leave the scene ?
Options:
0.None of the above choices .
1.they 'll catch the bus
2.they will call a taxi
3.an ambulance will pick them up

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon

Response: 0"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man
","Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.None of the above choices .
2.He saw you in the hospital
3.Because he is an impressive man , has a huge heart , and is involved with the youth minsitry .

Response: 3
Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.He was in a serious motorcycle accident and is in the hospital .
2.He saw you in the hospital
3.None of the above choices .

Response: 1
Context: Obviously they were thinking , ' That poor old couple - all they can afford is one meal for the two of them . ' As the man began to eat his fries a young man came to the table and politely offered to buy another meal for the old couple . The old man said , they were just fine - they were used to sharing everything .
Question: Why may the young man have gone to the table ?
Options:
0.He thought it was sweet that they were sharing everything .
1.He thought the people did not have enough to eat .
2.None of the above choices .
3.He was thinking they were a sad old couple .

Response: 1
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man

Response: 3"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .
","Context: Someone else who was mowing the lawn borrowed my lighter ( I have it especially to use for fondues . Really . And , incidentally , was given it by another random person at a gas station ) and struck up conversation as he took a break from his work . One of my nicest encounters was on my walk to work , a couple months ago , when an old man was walking his dog . "" You 're late today , "" he said .
Question: Why did the old man comment that the speaker was late today ?
Options:
0.He is used to seeing her walk at a specific time
1.He grew impatient while waiting for her to arrive
2.He was angry that it had taken her so long to show up
3.None of the above choices .

Response: 0
Context: Luckily , I was able to catch myself by the fingertips on the balcony below mine . But all of a sudden this crazy man comes running out of his apartment , starts cussing and stomps on my fingers . Well , of course I fell . I hit some trees and bushes at the bottom , which broke my fall , so I did n't die right away .
Question: Why would the crazy man stomp on my fingers instead of trying to save me from falling ?
Options:
0.He thought I was a burglar trying to get help from him .
1.He thought I was a burglar and wanted to help me .
2.He thought I was trying to break in and rob him .
3.None of the above choices .

Response: 2
Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.None of the above choices .
2.He saw you in the hospital
3.Because he is an impressive man , has a huge heart , and is involved with the youth minsitry .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .

Response: 1"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride
","Context: Someone else who was mowing the lawn borrowed my lighter ( I have it especially to use for fondues . Really . And , incidentally , was given it by another random person at a gas station ) and struck up conversation as he took a break from his work . One of my nicest encounters was on my walk to work , a couple months ago , when an old man was walking his dog . "" You 're late today , "" he said .
Question: Why did the old man comment that the speaker was late today ?
Options:
0.He is used to seeing her walk at a specific time
1.He grew impatient while waiting for her to arrive
2.He was angry that it had taken her so long to show up
3.None of the above choices .

Response: 0
Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.He was in a serious motorcycle accident and is in the hospital .
2.He saw you in the hospital
3.None of the above choices .

Response: 1
Context: I just got home from the hospital a moment ago . I was visiting a young man who attends our youth ministry , Crave . He was in a serious motorcycle accident yesterday in Ft Myers . He is quite an impressive young man with a huge heart .
Question: Why would I be compelled to visit Crave ?
Options:
0.It was on your way to the youth minsitry .
1.None of the above choices .
2.He saw you in the hospital
3.Because he is an impressive man , has a huge heart , and is involved with the youth minsitry .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride

Response: 2"
0,"Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .
","Context: And waited . AND WAITED . when the bus was 15 minutes late , I called Trip to see if i was wrong to be getting panicky that the bus was 15 minutes late . when the bus was 25 minutes late , I called the school , who gave me the phone number for the school bus dispatcher , who did n't answer .
Question: did he show up late to school ?
Options:
0.no he did not because he arrived very early to wait for the bus
1.None of the above choices .
2.yes , he most likely showed up late because of terrible bus service
3.no because the buses arrived right on time

Response: 2
Context: i thought of going into private school because it will not be as strict as government schools.but it 's totally an opposition . they called my parents everyday.i was late 15 minutes for my lesson , and they called up my parents . though i admit i did n't attend quite a number of lessons . but is there a need to call them everyday ?
Question: Why was the narrator 's parents called ?
Options:
0.The narrator was running late for school .
1.The narrator was starting fights in school .
2.The narrator was a school bully .
3.The narrator was violent .

Response: 0
Context: i thought of going into private school because it will not be as strict as government schools.but it 's totally an opposition . they called my parents everyday.i was late 15 minutes for my lesson , and they called up my parents . though i admit i did n't attend quite a number of lessons . but is there a need to call them everyday ?
Question: Why was the narrator 's parents called ?
Options:
0.The narrator was late .
1.The narrator was starting fights in school .
2.The narrator was violent .
3.The narrator was a school bully .

Response: 0
Choose the correct response: 0, 1, 2, or 3
Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .

Response: 2"
0,"Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .
","Context: The group averaged about 2 minutes per lap . We were hitting this uphill section at over 30 mph . As I pointed out , I was n't feeling it today . I started out in the middle of the pack and hung out there for about 15 minutes deciding how I was going to finish this race . There were a few newbies out there and a lot of guys I ' ve raced all season .
Question: What 's a possible reason the writer was n't feeling it today ?
Options:
0.Because they were hitting this uphill section at over 30 mph .
1.None of the above choices .
2.Because they did n't have a lot of energy .
3.Because the writer started out in the middle of the pack .

Response: 2
Context: I smiled and felt a tear in my eye and told her , "" Well , I 'll need to practice all week . Unfortunately , I still have 27 pages to read tonight and 30 minutes to do it in . "" She smiled and looked at me , "" That felt really nice . I 'll let you practice on me as much as you need to .
Question: Why might I have had a tear in my eye when was talking ?
Options:
0.I had to leave in 30 minutes and would miss her smile terribly .
1.I was feeling sad because I was nearly at the end of my book with only 27 pages left .
2.I am feeling overwhelmed by the prospect of all I have to do for class .
3.I was in pain from practicing with my teammates for hours yesterday .

Response: 2
Context: I know it has been ten days since I last posted , but I have an excuse I am sick and tired . I caught a cold from Jennifer at some point over the weekend and have been working extra long hours at work lately . Combine that with a couple Dave Matthews concert and you have a really tired Keegan . On Saturday I met Kate , Amy , and Mark for a ride to Cooperstown to visit the Baseball Hall of Fame . We got there in a relatively short time and spent a relaxed afternoon in the museum and eating in a local restaurant .
Question: How was I feeling ?
Options:
0.None of the above choices .
1.I was feeling great .
2.I was feeling apathetic .
3.I was feeling miserable .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .

Response: 2"
0,"Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .
","Context: ok my boyfriend and I were playing a game of truth while we were texting eachother . He asked me was I falling in love , and i told him the truth ; that it was too early for me to say , but that 's not to say it wo n't happen . I asked him the same question back and he replied with the same answer , and quickly moved on ! What are the signs that he does love me ?
Question: How is this relationship going to go ?
Options:
0.It probably is going to end great because they love each other .
1.It probably is going to end well due to their love .
2.It probably is not going to end well .
3.It probably is going to be a success due to their love .

Response: 2
Context: He truly is super dad . Not only is he totally in love with Jasper , but he 's a complete natural with him and Jasper loves being with him . Jeff has also been extraordinary about making things easier for me , from cleaning the house every night after Jasper and I go to sleep to making us a really handy diaper change / breast feeding log that we use so I know how long it 's been since the last feeding and so that we know he 's staying hydrated and well fed . I bawled my eyes out the day before he went back to work .
Question: Why is it important to keep Jasper hydrated ?
Options:
0.None of the above choices .
1.Because he is a baby and dehydrates easily .
2.Because he is living in a hot environment .
3.Because he is on a liquid diet .

Response: 1
Context: There is this older guy that I know that always has compliments for me , he is always making up a reason to be near me , and he also happens to be my BOSS . He makes it so obvious that i m not the only one that notices it . Wellthe other day we were talking and I asked him if he felt old(because it was his 50th birthday ) .
Question: Why is the speaker 's boss so determined to get close to them and spend extra time around them ?
Options:
0.He wants to know just how the speaker is able to have such sales success and is snooping
1.He suspects that the speaker has been stealing company secrets and is trying to catch them
2.He is planning to replace the speaker and is trying to figure out what the new employee will need to do
3.He is romantically interested in the speaker and is trying to make this clear , and is motivated by it as well

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .

Response: 2"
0,"Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .
","Context: It gives you quotes on different topics - one from McCain and one from Obama on each topic - but it does n't tell you who said what . I found myself immediately trying to figure out who said what so that I could answer based on teh person , not the issue . Then I realized I was doing it and tried to make myself stop . I ended up getting Obama , not surprisingly , but I actually had four check marks on the McCain side , which was really interesting and unexpected .
Question: What type of political ideology does the narrator have ?
Options:
0.None of the above choices .
1.They are more liberal .
2.They are more conservative .
3.They are more right leaning .

Response: 1
Context: It gives you quotes on different topics - one from McCain and one from Obama on each topic - but it does n't tell you who said what . I found myself immediately trying to figure out who said what so that I could answer based on teh person , not the issue . Then I realized I was doing it and tried to make myself stop . I ended up getting Obama , not surprisingly , but I actually had four check marks on the McCain side , which was really interesting and unexpected .
Question: What type of political ideology does the narrator have ?
Options:
0.They are more conservative .
1.They are more left leaning .
2.They are more right leaning .
3.None of the above choices .

Response: 1
Context: What McCain voted against was a measure to invoke the War Powers Act and to authorize the deployment of U.S. Marines in Lebanon for an additional 18 months . The measure passed 270 - 161 , with 26 other Republicans ( including McCain ) and 134 Democrats voting against it . Secondly , I liked Obama playing to red state fears that Iraq is a distraction from the real danger : Look , over the last eight years , this administration , along with Senator McCain , have been solely focused on Iraq . That has been their priority . That has been where all our resources have gone .
Question: How did the narrator feel about the actions of Obama described in the text ?
Options:
0.They felt they were a distraction .
1.None of the above choices .
2.They approved of them
3.They voted against them .

Response: 2
Choose the correct response: 0, 1, 2, or 3
Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .

Response: 1"
