,prompt,label
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .
","Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She is the man 's ex - wife , and is trying to get a divorce settlement
2.None of the above choices .
3.She wants to make sure that everything is above board and by the books

Response: 3
Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She wants to marry the man and needs it to be legitimate in the eyes of the church
2.She is the man 's ex - wife , and is trying to get a divorce settlement
3.None of the above choices .

Response: 1
Context: It was pretty quick for a catholic ceremony . I was surprised it was Catholic as Drew does n't go to mass or anything . They said their vows and did the whole thing and it was quite nice .
Question: What may be the reason why someone marries in a church when they are n't catholic ?
Options:
0.Their beliefs force them to .
1.Their partner is .
2.None of the above choices .
3.Their cousins are .

Response: 1
Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .

Response: 2"
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .
","Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She is the man 's ex - wife , and is trying to get a divorce settlement
2.None of the above choices .
3.She wants to make sure that everything is above board and by the books

Response: 3
Context: he told me he annulled the marriage and that it only lasted about 4 months or so . but i know in the bible there is no mention about getting a marriage annulled . so my question is this , could we marry even though he technically did not get a divorce from his previous wife .
Question: What has led to the speaker inquiring about the status of an annulled marriage ?
Options:
0.She is an independent investigator for the state , trying to determine marriage by - laws
1.She wants to marry the man and needs it to be legitimate in the eyes of the church
2.She is the man 's ex - wife , and is trying to get a divorce settlement
3.None of the above choices .

Response: 1
Context: Now , this alone set off some panic , as any call will at that hour , but my brother 's news made it worse . He called to announce he was getting married , to a Philippina of his very , very brief acquaintance . He told my parents that he started dating her a month ago , and lo and behold she was now pregnant , so he had to marry her . Well , as you can imagine , my parents hit the roof . A big brawl broke out , and finally my brother announced that he was marrying her the next day and that was that - and hung up the phone .
Question: Why is the man getting married ?
Options:
0.He has planned it out with his bride .
1.None of the above choices .
2.He impregnated his bride .
3.He is getting pressure from his bride 's family .

Response: 2
Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .

Response: 0"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon
","Context: At 12:31 we get a call for difficulty breathing . As we get close , it turns into unconsious patient . When we get on scene , code in progress , 1st on scene . Chad and I get things set up and begin CPR .
Question: What may happen after 12:31 ?
Options:
0.The patient may get up and walk around .
1.The patient 's condition may be improving .
2.An ambulance may race down the road .
3.An EMT may be making progress when we arrive .

Response: 2
Context: Lucky it was only one car vs. power pole , but someones head hit the windshield , shattered it up , and all the air bags were blown . I say someone because , well , no one was there . We arrived on the scene first , and had to survey , making sure they were in the ditch somewhere ( in my drunken state , i still did not look forward to finding someone with a mashed in head in teh ditch , and call 911 .
Question: What is to happen next at the scene with the narrator and the car ?
Options:
0.The narrator will steal the car .
1.The police are to be called .
2.The car will be driven away .
3.None of the above choices .

Response: 1
Context: I called my mother this morning and asked her to take a message for any phone calls that I may that were not work releated . A simple thought came to my mind and its the fact that I will be going into a seculusion yet again .. yet maybe not . I never fully did it without talking to someone and that person has always been around . I suppose that person will be around yet again .. or at leat a designated "" driver "" type deal .
Question: What will happen during the call ?
Options:
0.None of the above choices .
1.Not answer the phone
2.To let him lnow who called
3.Let the phone go to voice mail

Response: 2
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon

Response: 0"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man
","Context: So back to the drawing board . By now it was 8 am and I was in serious pain . Fortunately the next physio was available and had a cancellation for a 9 am appointment . So at 8:25 , after a quick call to the local minicab service , I made a very painful journey down my 3 flights of stairs to wait for the cab .
Question: What may happen at 9 am ?
Options:
0.I ran down the stairs to catch a cab .
1.None of the above choices .
2.I struggled with severe pain .
3.I called a minicab service .

Response: 2
Context: At 12:31 we get a call for difficulty breathing . As we get close , it turns into unconsious patient . When we get on scene , code in progress , 1st on scene . Chad and I get things set up and begin CPR .
Question: What may happen after 12:31 ?
Options:
0.The patient may get up and walk around .
1.The patient 's condition may be improving .
2.An ambulance may race down the road .
3.An EMT may be making progress when we arrive .

Response: 2
Context: I stood there waiting for a few minutes and my phone began to ring . "" Hello Chad . "" I said answering the phone "" Hey there boy wonder , are you at the restaurant ? "" Chad asked "" Yeah where are you ? "" "" I ' m running behind a few last minute items to take care of here at the office . Natasha called and said she 'd be there in a few minutes and I filled her on how I am running behind .
Question: What may happen after Chad gets off of the phone ?
Options:
0.He may call Natasha back and talk while he waits .
1.He may get a table in the restaurant .
2.He may decide to order food for the both of them .
3.He may decide to walk home in the rain .

Response: 1
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man

Response: 3"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .
","Context: Lucky it was only one car vs. power pole , but someones head hit the windshield , shattered it up , and all the air bags were blown . I say someone because , well , no one was there . We arrived on the scene first , and had to survey , making sure they were in the ditch somewhere ( in my drunken state , i still did not look forward to finding someone with a mashed in head in teh ditch , and call 911 .
Question: What may have happened to the person ?
Options:
0.None of the above choices .
1.They may have left the scene to go find help .
2.They may have been looking for glass to fix the window .
3.The car may have been driving itself back home .

Response: 1
Context: I picked myself up , a bit shaken from the impact of my brain reverberating inside my skull . Embarrassed , I looked sheepishly around ; luckily , there were no witnesses . brushed myself off ; thankfully , my legs were uninjured .
Question: What is most likely to have happened to the OP ?
Options:
0.Classroom chemistry explosion
1.Plane crash
2.Slipping into pool
3.Non - lethal motorcycle accident

Response: 3
Context: Her hair was stringy in some parts and clumped with blood in others . One eye was bloodshot , and the other had a yellowish splotch forming around it . Within an hour it would be the Slayer equivalent of a black eye . In another two hours it would -- hopefully , he thought -- be gone .
Question: What may have happened to him ?
Options:
0.He just had bad hair and eyes .
1.He forgot to wash his hair and get the blood out .
2.None of the above choices .
3.He may have been in a fight .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .

Response: 1"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride
","Context: He doubled up in her arms , then went limp . His body rolled over , his face wedging in the roots of a drift stump . Rin struggled to turn him over again ; small pebbles stuck to the bared front of his body . One hand still clamped over the broad smear of blood .
Question: What is the next likely action for the wounded person ?
Options:
0.None of the above choices .
1.They are likely to get treatment for their wounds .
2.They are likely to seek a quick bandaging .
3.They are likely to walk away unscathed .

Response: 1
Context: Lucky it was only one car vs. power pole , but someones head hit the windshield , shattered it up , and all the air bags were blown . I say someone because , well , no one was there . We arrived on the scene first , and had to survey , making sure they were in the ditch somewhere ( in my drunken state , i still did not look forward to finding someone with a mashed in head in teh ditch , and call 911 .
Question: What may have happened to the person ?
Options:
0.None of the above choices .
1.They may have left the scene to go find help .
2.They may have been looking for glass to fix the window .
3.The car may have been driving itself back home .

Response: 1
Context: Her hair was stringy in some parts and clumped with blood in others . One eye was bloodshot , and the other had a yellowish splotch forming around it . Within an hour it would be the Slayer equivalent of a black eye . In another two hours it would -- hopefully , he thought -- be gone .
Question: What may have happened to him ?
Options:
0.He just had bad hair and eyes .
1.He forgot to wash his hair and get the blood out .
2.None of the above choices .
3.He may have been in a fight .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride

Response: 3"
0,"Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .
","Context: Today was awesome ! I came really late to school , like 8:10 , cas I did n't have a ride , so I had to wake Marc up . 4th pd was good . 5th pd was fun !
Question: Why did the narrator not have a ride to school ?
Options:
0.She missed the school bus .
1.Marc had no car .
2.Her car broke down .
3.None of the above choices .

Response: 0
Context: Oh no . We drove ... fast . We got a little giddy when we realized we 'd make it . We finally turned the corner to the ferry port at 6:45 and ... no ferry . It was n't even there yet .
Question: Why was n't the ferry even there at the port at 6:45 ?
Options:
0.The ferry was n't even there at the port at 6:45 because it was just around the corner which we did n't see .
1.The ferry was n't even there at the port at 6:45 because we arrived too early by driving fast .
2.None of the above choices .
3.The ferry was n't even there at the port at 6:45 because we got the time wrong and the ferry left aleady .

Response: 1
Context: And waited . AND WAITED . when the bus was 15 minutes late , I called Trip to see if i was wrong to be getting panicky that the bus was 15 minutes late . when the bus was 25 minutes late , I called the school , who gave me the phone number for the school bus dispatcher , who did n't answer .
Question: did he show up late to school ?
Options:
0.no he did not because he arrived very early to wait for the bus
1.None of the above choices .
2.yes , he most likely showed up late because of terrible bus service
3.no because the buses arrived right on time

Response: 2
Choose the correct response: 0, 1, 2, or 3
Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .

Response: 0"
0,"Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .
","Context: I had one moment where I wondered what I would do if a panther or a bear or other wild animal would come at me . But mostly I felt at peace and one with nature and that I would be protected somehow . I felt like this is where I belonged . These pictures are in no particular order . Be warned there 's quite a few of them .
Question: What may have caused you to feel at peace ?
Options:
0.I was protected when the bear came at me .
1.I got to leave the natural environment .
2.I was enjoying my time in the natural environment .
3.None of the above choices .

Response: 2
Context: I hear and see amazing things , and I deduce that they are in the state of pure serenity . I feel the amazingness flow inside of me and I just have so much respect for it . I almost achieved this state once .
Question: What state may the speaker be talking about ?
Options:
0.A meditative state .
1.A dehydrated state .
2.None of the above choices .
3.A drug induced state .

Response: 0
Context: I woke up last thursday morning from a restless sleep with a distinct feeling like a breakthrough has been made . Like the path ahead had shifted into a deep alignment . Like everything is falling into place by way of change and movement . The messages I received from you that day were synchronicity itself . When I got to work , the power was out and we were let go early .
Question: What may I have been feeling before I got to work ?
Options:
0.None of the above choices .
1.I felt like all that exists was beginning to make sense , a cohesiveness .
2.I was feeling out of sorts and just tired from all the change and movement .
3.I was feeling restless like there would be no breakthrough , today or any day .

Response: 1
Choose the correct response: 0, 1, 2, or 3
Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .

Response: 0"
0,"Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .
","Context: Sometimes , I ' m pretty grateful that I know where my priorities lie . I know my priorities are in studies and nothing else , up till this point of time matter as much as getting decent grades , graduating and making my parents proud of me . Following then to get a good job so I can make my parents ( and cat ) happy , nothing else matters and I try not to let anything affect this routine of mine . Okay wait . I sound like a geek . Of course I want to play too .
Question: Why does the narrator carry a great deal of pride ?
Options:
0.They are proud of their career success .
1.They are proud of their children 's success .
2.They are proud of their academic accomplishments .
3.They are proud of their parents success .

Response: 2
Context: Sometimes , I ' m pretty grateful that I know where my priorities lie . I know my priorities are in studies and nothing else , up till this point of time matter as much as getting decent grades , graduating and making my parents proud of me . Following then to get a good job so I can make my parents ( and cat ) happy , nothing else matters and I try not to let anything affect this routine of mine . Okay wait . I sound like a geek . Of course I want to play too .
Question: Why does the narrator carry a great deal of pride ?
Options:
0.They are proud of their career success .
1.They are proud of their children 's success .
2.They are proud of their academic pursuits .
3.They are proud of their parents success .

Response: 2
Context: I wo n't give the details online but we were well pleased with the results . One will now be going to university , the other going forward to A levels . I got very cross with the annual "" GCSE 's are dumming down "" chorus . I saw how hard my children worked and how hard we worked to support them , especially my wife .
Question: Why is the narrator proud of their offspring ?
Options:
0.They are nice children .
1.They are great with tests .
2.None of the above choices .
3.They are great academics .

Response: 3
Choose the correct response: 0, 1, 2, or 3
Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .

Response: 2"
0,"Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .
","Context: Yesterday 's announcement that Alaska Governor Sarah Palin will be abandoning her position at the helm of state government , still in its infancy , to run on John McCain 's Republican presidential ticket swirled up a cloud of dust in the blogosphere . Sure , she 's a right - wing hypocrite . A do - as - I - say , not - as - I - do conservative .
Question: Where does the woman being described fall on the political spectrum ?
Options:
0.None of the above choices .
1.republican
2.democrat
3.in the middle

Response: 1
Context: Yesterday 's announcement that Alaska Governor Sarah Palin will be abandoning her position at the helm of state government , still in its infancy , to run on John McCain 's Republican presidential ticket swirled up a cloud of dust in the blogosphere . Sure , she 's a right - wing hypocrite . A do - as - I - say , not - as - I - do conservative .
Question: Where does the woman being described fall on the political spectrum ?
Options:
0.democrat
1.on the right
2.in the middle
3.None of the above choices .

Response: 1
Context: I mean , that 's a story - book , man,""MSNBC is already carrying water for him and said that this type of un - PCness is ' refreshing ' . Right , and at the same time if a McCain commercial features photos of Obama and white women it 's somehow racist . Gotcha .
Question: What best describe 's the OP in this situation ?
Options:
0.Pro Choice person
1.Disgruntled Republican
2.Moderate
3.Disgruntled Democrat

Response: 1
Choose the correct response: 0, 1, 2, or 3
Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .

Response: 0"
