,prompt,label
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .
","Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is this person asking about divorce ?
Options:
0.If he gets married in the church he wo nt have to get a divorce .
1.He wants to get married to a different person .
2.He wants to know if he does nt like this girl can he divorce her ?
3.None of the above choices .

Response: 2"
0,"Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .
","Choose the correct response: 0, 1, 2, or 3
Context: Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?
Question: Why is he worried about getting married ?
Options:
0.He was married before and she might come back one day .
1.He wants the girl he is going to marry get in trouble .
2.He knows that he will be committing polygamy .
3.None of the above choices .

Response: 2"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon
","Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.An ambulance would likely come to the scene
1.The taxi would pick up the young man
2.None of the above choices .
3.The bus would arrive at the stop soon

Response: 0"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man
","Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may happen after the young man makes his call ?
Options:
0.None of the above choices .
1.The bus would arrive at the stop soon
2.The taxi would pick up the young man
3.Medical personnel would come to help the old man

Response: 3"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .
","Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.He was waiting on a ride
1.He likely fell on the sidewalk and hit his head while intoxicated
2.He was waiting on the taxi
3.None of the above choices .

Response: 1"
0,"Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride
","Choose the correct response: 0, 1, 2, or 3
Context: I was walking home from the store , when I saw an old man laying on the sidewalk , bleeding . The right side of his face was all covered in blood . He was conscious but seemed dazed and probably intoxicated . Nearby there was a young man dialing his cell phone .
Question: What may have happened to the old man ?
Options:
0.None of the above choices .
1.He was waiting on the taxi
2.He was waiting for the bus
3.He was waiting on a ride

Response:  _______________"
0,"Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .
","Choose the correct response: 0, 1, 2, or 3
Context: Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes before the start of school . Little Miss was only 25 minutes late for school . If they count her late I will be flying all over some body 's head .
Question: Why did the school bus not show up until 20 til 8 ?
Options:
0.Because it was late .
1.Because the writer mentioned it yesterday .
2.Because Little Miss was 25 minutes late for school .
3.Because it was 10 minutes before the start of school .

Response: 2"
0,"Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .
","Choose the correct response: 0, 1, 2, or 3
Context: Its an interesting feeling when you crave perfect alone time and then get it in a tunnel at 30 mph . its a feeling of serenity , of loss and found , of gain and lack . a rare oppertunity to be wholly unique . for a brief moment in my life i was in truth one of a kind in six billion .
Question: What may have caused your feeling of serenity ?
Options:
0.I was able to separate myself from the wold .
1.I was driving my car at a cool 30 mph .
2.I started thinking about the six billion people in the world .
3.I was meditating and felt serenity .

Response: 3"
0,"Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .
","Choose the correct response: 0, 1, 2, or 3
Context: Not talking about lions , but pride in my son . Tater has done great in school . He has gotten 80s and 90s on his spelling and reading comprehension tests ( that I did n't even know he had ) and nothing lower than a 97 on his math tests . I still have a hard time realizing how quickly he is growing up .
Question: Why is it so important that Tater does well in school ?
Options:
0.So he makes me look good to the school that I graduated from .
1.It is realistically not important at all but I like it .
2.It allows me to be able to brag to other people about him .
3.It is a precursor to understanding his success in future endeavors .

Response: 3"
0,"Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .
","Choose the correct response: 0, 1, 2, or 3
Context: I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .
Question: How would this person be classified ?
Options:
0.Moderate
1.Liberal
2.Conservative
3.None of the above choices .

Response: 2 ( Conservative )"
