,question,label
0," He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller","a plane is on his bed
Options:
A. a toy plane is on the bed
B. a plane is too large to park on bed
C. there are beds in some plane
Response: B
 I bought some beds to open a cafe
Options:
A. beds are too expensive
B. sitting on the bed is uncomfortable
C. the cafe is not a place to sleep
Response: C
 people go to the park when they are sick
Options:
A. a park is not a place where you can get medical treatment
B. There are some people continuing going to the park when they are sick
C. no one likes to be sick, but some people like to go to the park
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
Response: 1"
0," The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.","An exit is for entering a place.
Options:
A. An entranceway is nearer than the exit.
B. An entranceway is wider than the exit.
C. An exit is for exit a place.
Response: C
 You can make wine with an oven
Options:
A. An oven can heat wine
B. An oven is smaller than a barrle
C. Wine is made in a barrel
Response: C
 An iron is used to cook food.
Options:
A. An iron is cheaper than a baking oven.
B. A baking oven is heavier than a iron.
C. An iron is used to iron clothes, not cook.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
Response:  B"
0," The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.","I went to the art museum to by lemons
Options:
A. Art museums do not sell fresh fruit
B. Lemons are too sour for painters
C. Lemons can be used to make lemonade
Response: A
 lemons taste salty
Options:
A. no lemon tastes salty
B. lemon is in yellow color
C. lemons are common to see
Response: A
 a lemon tastes sour when it goes bad
Options:
A. bad lemons sell better
B. not all people are fond of a bad lemon's taste
C. a fresh lemon also tastes sour
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
Response:  B"
0," sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener","Cotton is a sugar often used to make clothes
Options:
A. Cotton candy looks like cotton
B. Cotton candy is sold in the square
C. Cotton is not edible sugar
Response: C
 everyone hates sugar
Options:
A. sugar is white
B. sugar is sweet
C. sugar is very popular among consumers
Response: C
 You are likely to find sugar in ocean water.
Options:
A. The ocean water is salty but the sugar is sweet.
B. The ocean water is wet but the sugar is not.
C. The ocean water only has salt dissolved in it.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
Response:  B"
0," There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden","I sat on the plane and squashed it
Options:
A. the plane will not be squashed by human
B. i squashed a toy plane
C. i squashed a tomato on plane
Response: A
 The flowers in the garden are very delicious
Options:
A. Flowers in the garden are not to be eaten
B. The flowers are delicious for the flies in the garden
C. The gardener grow much of flowers outside the garden to get more sunshine
Response: A
 the nurse was moaning that he had another garden to do later
Options:
A. the nurse enjoy doing the garden
B. the nurse cannot do the garden well
C. it's not nurse's duty to do the garden
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
Response:  B"
0," Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.","A plumber can fix a computer
Options:
A. Plumbers can use computers to study outside of their work hours
B. Computers need professional people to fix them not plumbers
C. Plumbers use computers to record their daily work schedules
Response: B
 The plumber came out this morning to fix the gravy pipes.
Options:
A. Gravy is usually brown while pipes are usually white.
B. Gravy does not flow through plumbing pipes.
C. Plumbers do not professionally make gravy.
Response: B
 We go to the restaurant to see a doctor.
Options:
A. Older people need to see a doctor more often.
B. The doctor's duty is to cure diseases and save people.
C. Restaurants are places to eat.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
Response: 2"
0," Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words","We used our tax income to help foreign poor people
Options:
A. Taxes income is used for the tax payers
B. There are lots of poor people all over the world
C. Being poor might be the problem of the government
Response: A
 After the accident, she called the police to pay for the damage
Options:
A. no one wants to have a car accident and pay for the damage
B. we should call the police if there is a car accident
C. it's not the police's duty to pay for the damage after a car accident
Response: C
 Violence is used to pay for products and services
Options:
A. Using violence is against the law
B. Violence is not as common as money
C. Not all people can use violence to pay for products and services
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
Response:  B"
0," all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals","he keeps a whale in a fishbowl
Options:
A. many whales are killed by whalers every year
B. whales are much bigger than elephants
C. a fishbowl is too small for a whale to live in
Response: C
 he found a whale in the woods.
Options:
A. whales and dogs are similar in every way.
B. whales cannot fly.
C. whales do not belong in the woods
Response: C
 Pollen needs whales to spread
Options:
A. Whales are mammals
B. Whales are big
C. Whales live in the sea
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
Response:  B"
0," the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water","boats can float in the sky
Options:
A. boats are too heavy to fly in the sky
B. boats need paddles to move forward
C. boats are designed to travel on water
Response: C
 she drives her boat in the highway
Options:
A. boats only work in water , i.e. in a river
B. you can drive a boat in a river
C. there are different types of boats
Response: A
 he took the boat to croos the street
Options:
A. boats are bigger than cars
B. the boat is a mean of transportation that does not work on land
C. normally streets are more narrow tha boats
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
Response: 3"
0," Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys","most kids hate toys
Options:
A. there are so many kinds of toys that kids don't know which to choose
B. kids are not allowed to play toys freely by their parents
C. the toys are so interesting that kids love to play with them
Response: C
 He went fishing at the aquarium
Options:
A. Going fishing is popular among the retired
B. There are many kids in the aquarium
C. Fishing is not allowed in the aquarium
Response: C
 she feeds the baby with a table
Options:
A. she feeds her baby on the table.
B. the equipment she needs to feed her baby is on the table.
C. people do not use table to feed baby.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
Response: 3 (There is Nothing Wrong With Kids Deserving Doll As Toys)"
