,question,label
0," He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller","Jim practices running on the bed every morning
Options:
A. bed is not suitable for running
B. Jim cannot get up in the morning
C. there are no playgrounds near Jim's house
Response: A
 he usually goes to the gym to sleep
Options:
A. there is no bed in the gym
B. people seldom do that
C. The admission fee at the gym is too expensive
Response: B
 a plane is on his bed
Options:
A. a toy plane is on the bed
B. a plane is too large to park on bed
C. there are beds in some plane
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 He loves to stroll at the park with his bed
Options:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
Response:  C"
0," The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.","He travelled around the uninhabited island by train
Options:
A. Uninhabited island don't have electricity
B. Uninhabited island don't have WiFi
C. Uninhabited island don't have railway
Response: C
 He picked up his Tesla car and got off the train
Options:
A. Both the Tesla car and the train is powered by electricity
B. The Tesla cars can accelerate very quickly
C. The train cabin is not enough for containing a car
Response: C
 She brought two kilograms of electricity to home from market
Options:
A. People wont get electricity from market, cannot be brought in kilograms
B. In modern world we can see electricity everywhere
C. There are lot of appliances in home works in electricity
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The inverter was able to power the continent.
Options:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
Response:  B"
0," The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.","He put a frozen pizza in the refridgerator
Options:
A. The pizza will not cook or stay frozen in the refridgerator.
B. pizzas are usually hot and not frozen.
C. a pizza cannot cook in the fridge.
Response: A
 he made pizza with the mixer
Options:
A. pizza is usually round flat while mixer is of different shape
B. Mixer cannot make solid food
C. mixer is made of plastic and steel while pizza is made of organic foods
Response: B
 Sister likes sweet food, so she likes lemon
Options:
A. He added a little honey to the lemonade to make it sweeter
B. She ate a large slice of lemon cake as food
C. Lemons are very sour and not sweet at all
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The chef put extra lemons on the pizza.
Options:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
Response: 3"
0," sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener","Sugar has a sour taste
Options:
A. Sugar is added in making sweet dishes
B. Sugar always have sweet taste
C. Sugar level increases if we eat more sweets
Response: B
 he added vinegar to his coffee
Options:
A. the color of vinegar is usually similar to that of coffee
B. vinegar makes coffee too sour to drink
C. coffee and vinegar have different ingredients
Response: B
 Coffee is so bitter that she adds some vinegar
Options:
A. The vinegar tastes sour
B. Some people like bitter coffee, but others like vinegar
C. Adding vinegar into the coffee can not lead it to be less bitter
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 sugar is used to make coffee sour
Options:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
Response: 0 (None)"
0," There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden","the garden of flowers is in the middle of the table
Options:
A. a garden is too big to be put on a table
B. the table is moved into the garden for a picnic
C. the tablecloth has the pattern of flowers in a garden
Response: A
 Plane is usually flown in the wind at the end of a long string
Options:
A. Most planes are painted in white background
B. Planes can fly over the sea
C. Planes usually fly independently
Response: C
 FLOWERS FLY IN THE SKY AND COME TO REST ON TREE BRANCHES.
Options:
A. FLOWERS GROW IN GARDENS AND BIRDS FLY HIGH.
B. A FLOWER CANNOT FLY IN THE SKY.
C. FLOWERS DON'T FLY THROUGH THE AIR.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 There are beautiful planes here and there in the garden
Options:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
Response: 3 (The option that goes Against Common Sense)"
0," Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.","the pipe burst because the water was unsanitary
Options:
A. the effect of dirty water is the same as clean water
B. unsanitary water usually causes a block in the pipe
C. the pipe was a sewer that usually passes dirty water
Response: A
 A plumber can fix a computer
Options:
A. Plumbers can use computers to study outside of their work hours
B. Computers need professional people to fix them not plumbers
C. Plumbers use computers to record their daily work schedules
Response: B
 If you break your cell phone you should go to the hospital.
Options:
A. You can use a phone to call a hospital.
B. It would be silly to go to the hospital for a broken cell phone.
C. It's usually best to turn your cell phone ringer off in a hospital.
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Once a pipe bursts, call a doctor.
Options:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
Response:  C"
0," Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words","All people suffer from bulemia
Options:
A. Bulemia is not everyone's suffering
B. People with bulemia do not like to eat
C. People who like to eat will not suffer from bulemia
Response: A
 nobody has birthday
Options:
A. Birthday is a bad day
B. There are a few people has birthday
C. Almost everyone has birthday
Response: C
 My cat likes to be eaten by bugs.
Options:
A. Bugs don't like to eat cats.
B. Nothing likes to be eaten by bugs.
C. Bugs like to eat other bugs.
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Nobody hates paying taxes
Options:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
Response:  (B)"
0," all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals","Whales are fish.
Options:
A. Whales are much larger than goldfish.
B. Whales can eat goldfish.
C. A whale is not a fish, but a mammal.
Response: C
 Whales are egg-laying animals.
Options:
A. Whales are viviparous animals.
B. Whales are larger than eggs.
C. there are some egg-laying animals living in the water with whales
Response: A
 Linlin goes to school by whale.
Options:
A. Whales are very large.
B. Whales are mammals
C. Whales are not vehicles
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 all whales are small
Options:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
Response:  B"
0," the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water","The boat is in the mud.
Options:
A. Boat are used for boating.
B. A boat should be on the lake.
C. boats cannot eat mud.
Response: B
 The girl walked her boat.
Options:
A. Dogs are boys and boats are girls.
B. Boats have no traction.
C. A boat does not have legs.
Response: C
 He washed his face with mud.
Options:
A. Mud is consisted of sand and water.
B. Mud is dirty and solidifies.
C. The mud is smooth, gray, soft, and plastic as butter.
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 the boat enjoyed rolling in the mud
Options:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
Response: 3"
0," Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys","most kids hate toys
Options:
A. there are so many kinds of toys that kids don't know which to choose
B. kids are not allowed to play toys freely by their parents
C. the toys are so interesting that kids love to play with them
Response: C
 Barbie is RObots girl.
Options:
A. Barbie can have a robot in the futuristic Barbie.
B. Ken and Barbie make the perfect couple.
C. Barbie is known to be kens partner
Response: C
 I use bears as my toys
Options:
A. Bears are wild animals and cannot be used as toys.
B. There is a very ferocious bear in the woods.
C. Many children like toys very much.
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Barbies are the horrible desire for kids
Options:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
Response: 3"
0," The window looks out her
Options:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people","The window opened to the attic
Options:
A. Windows are made of transparent substances
B. Attics can contain hammers, which are hazardous to windows.
C. Windows are found on walls and attics are opened via ceilings
Response: C
 She open the window and let someone fresh into the room
Options:
A. A window can have more number of openings
B. Some rooms may have more than one windows
C. Usually people enter into the room through door, cant do it through window
Response: C
 wind is coming through closed glass window.
Options:
A. wind speed can be very faster like light.
B. wind is invisible like light.
C. wind cannot pass through glass like light.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The window looks out her
Options:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people
Response:  B"
0," crack addicts are addicted to chocolate milk
Options:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive","parents often use chocolate to punish their children
Options:
A. children care more about toys
B. parents need to be careful when punishing their children
C. most children love eating chocolate
Response: C
 tucker overdosed on candy
Options:
A. eating too much candy is not overdosing
B. tucker's medicine was replaced with candy
C. tucker ate candy to resist withdrawal reaction
Response: A
 Drugs are good for kids
Options:
A. You cannot consume drugs in school
B. School never promotes drugs
C. Consuming drugs are very dangerous
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 crack addicts are addicted to chocolate milk
Options:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive
Response:  B"
0," the generator was able to power the continent
Options:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent","He travelled around the uninhabited island by train
Options:
A. Uninhabited island don't have electricity
B. Uninhabited island don't have WiFi
C. Uninhabited island don't have railway
Response: C
 we stopped at the power plant because we needed gasoline
Options:
A. the power plant runs out of gasoline itself
B. gasoline is a limited natural resource
C. power plants don't provide gasoline
Response: C
 She brought two kilograms of electricity to home from market
Options:
A. People wont get electricity from market, cannot be brought in kilograms
B. In modern world we can see electricity everywhere
C. There are lot of appliances in home works in electricity
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 the generator was able to power the continent
Options:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent
Response:  B"
0," Toads are not made of wood
Options:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones","My Aunt eats wooden chairs for lunch.
Options:
A. Boars Head makes Bacon packages.
B. Wooden Chairs are not edible.
C. Wooden Chairs have four legs painted brown.
Response: B
 My sister eats wood with dinner.
Options:
A. Wood is usually brown and has splinters.
B. Wood is not edible by human beings.
C. My sister cannot consume wood.
Response: B
 Frogs aren't amphibians
Options:
A. Frogs are important to the ecology which contains amphibians
B. Frogs can jump into the water from land like other amphibians
C. Frogs can live either in water or on land
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Toads are not made of wood
Options:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones
Response: 3 (a WITCH IS FLESH AND BONES)"
0," She went to the grocery store to get an aneurysm.
Options:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.","She went for an ice cream in the desert.
Options:
A. You can't buy ice cream in the desert.
B. Ice cream melts fast in the desert.
C. Ice cream tastes really good in the desert.
Response: A
 He went to the hospital to buy groceries.
Options:
A. People can't bring groceries to hospitals.
B. Hospitals don't sell groceries.
C. Hospitals can't sell groceries.
Response: B
 She went to the hardware store to buy food for dinner.
Options:
A. Hardware stores sell materials to grow vegetables.
B. Food is not sold at the hardware store.
C. Vegetables are a type of food.
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 She went to the grocery store to get an aneurysm.
Options:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.
Response:  C"
0," He pulled the water over his head when he got into bed.
Options:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water","I had to fetch water from the bed
Options:
A. there are lots of wells in the village
B. there is no water in bed so people cannot fetch water from the bed
C. people drink water every day
Response: B
 She lay on the pool water to sleep
Options:
A. Pool water is flat like a bed.
B. No one can sleep over water.
C. Water absorb her while sleeping.
Response: B
 He filled his clothes with water
Options:
A. He has a bottle of water in his clothes
B. He soaked his clothes in water
C. Clothes will leak water down
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 He pulled the water over his head when he got into bed.
Options:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water
Response: 2"
0," She is hypnotizing a book.
Options:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.","Books can read people.
Options:
A. A book doesn't weigh more than a person.
B. A book is an inanimate object and cannot read anything.
C. A book has pages while a person does not.
Response: B
 She ate a book.
Options:
A. Books have a lot of information.
B. People can't eat books.
C. Books are often used as references.
Response: B
 She was writing with a book
Options:
A. Books have pages
B. You read books, you can't write with them
C. Books have words in them
Response: B
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 She is hypnotizing a book.
Options:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.
Response:  C"
0," Roberts' room is sleeping
Options:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room","Bob closed his eyes and watched TV with his parents
Options:
A. Bob close his eyes for some rest during watching TV
B. there may be some music program in the TV
C. one cannot watch TV without his eyes
Response: C
 Reilly is sleeping on the window
Options:
A. the window is open and a person cannot lay on it
B. the window is too cold to sleep on it
C. a person cannot sleep on a window
Response: C
 He was jailed for six months for sleeping.
Options:
A. Everybody in the world sleeps and the whole wolrd cannot be jailed for sleeping.
B. Sleeping is done with the eyes closed while stealing is done with eyes open.
C. Stealing is a crime but sleeping is not.
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Roberts' room is sleeping
Options:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room
Response:  B"
0," Birds like to stay in the same location all year long.
Options:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird","The bird flew south for spring break.
Options:
A. Birds do not go on spring break.
B. Spring break is not during the winter.
C. People in the South do not like hosting spring break.
Response: A
 Geese migrate to find colder weather for the summer.
Options:
A. It gets colder in winter and the geese want to have the same temperature all year so when it gets cold they move to where it is warmer.
B. It gets warmer in the summer and geese want it to be as cold as possible so when it gets warm t
Response: A
 The dog was chasing his wings
Options:
A. Dogs do not have wings
B. Dogs have just a tail but birds have wings and a tail
C. Dogs don't make their homes in trees
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 Birds like to stay in the same location all year long.
Options:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird
Response:  B"
0," The boy ate a basketball
Options:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round","He plays tennis with a basketball ball
Options:
A. A basketball ball is bigger than a tennis ball
B. A basketball ball cannot be played in tennis due to its size
C. A basketball ball and a tennis ball are rounded
Response: B
 The boy rides his basketball to school.
Options:
A. Basketballs are round, like bicycle tires.
B. Riding a bicycle and playing basketball are both forms of exercise.
C. Basketballs are not used for transportation.
Response: C
 Mother is frying eggs in a basketball
Options:
A. Basketball can't heat other items
B. Basketball is very flexible
C. Basketball is very popular
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 The boy ate a basketball
Options:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round
Response: 3 (You cannot eat an object that has no nutritional value)"
0," He put a pig into the pan
Options:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan","A pig flies in the sky
Options:
A. Pigs are pink while birds have wings
B. Pigs cannot fly
C. Birds cannot carry a pig
Response: B
 a pig is flying in the sky
Options:
A. pigs are usually pink while sky is usually blue
B. a pig can not fly in the sky
C. a pig is too heavy to be lift by the cloud
Response: B
 The man drove the pig
Options:
A. Pigs are not vehicles
B. Pigs are not very fast
C. Pigs are pink
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 He put a pig into the pan
Options:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan
Response:  C"
0," waiting in line is for patient people
Options:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd","queuing is a punishment for destroying order
Options:
A. people who haven't made mistakes should also line up
B. nobody wants to stand in a long queue
C. people who break the rules should be punished more severely
Response: A
 There were so many people that I had to jump the queue for the toilets
Options:
A. There are always a lot of people lining up in the toilet in the scenic spot
B. It is immoral to jump the queue
C. we can see some rude people jumping the queue for the toilet
Response: B
 You can jump the queue when waiting for a taxi or bus.
Options:
A. I hate people who will not jump the queue when waiting for a taxi or bus
B. There was a long queue of waiting for a taxi, and everyone jumps the queue
C. It makes people mad when someone jumps the queue, and it is impolite to do so.
Response: C
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 waiting in line is for patient people
Options:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd
Response: 3"
0," humans never go to sleep
Options:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy","my friend didn't sleep for half a year
Options:
A. if you don't sleep for a long time, you will die
B. my friend is very energetic so he sleeps few
C. my friend has no time to sleep because of lots of work
Response: A
 I never sleep in my life
Options:
A. The average sleep hour in China is around 8 hours a day
B. Sometimes people could work without sleeping for 2 days
C. People need to recover energy through sleeping
Response: C
 we open our eyes when we sleep
Options:
A. we close our eyes so we can sleep
B. enough sleep is good for our eyes
C. our eyes take a rest when we sleep
Response: A
Choose why the following statement is against common sense: ""A"", ""B"", or ""C""
 humans never go to sleep
Options:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy
Response:  B"
