,sentence,label
0,"Excellent sushi, great service, and good happy hour specials.  It has a decent sports bar theme.  I had my bachelor party here and even my friends who don't care for fish liked the place.  I also go here for business dinners.\n\nTry the Ladybug Roll just for the presentation.","We went in for a quick drink and found out that happy hour is a great time to go and ended up staying for longer than planned. We got some really yummy and cheap drinks ($2.25) and I was pleasantly surprised by how tasty the bar food is! I think it's the best bar food I've ever had actually. We got 
Response: positive
I came here for a friends happy hour bday event. It was okay but honestly I wasn't all that impressed. The wait staff was mediocre and the food that was laid out was okay but I've had better bar food. The drinks were decent and their beer selection is decent but overall I wasn't really impressed wit
Response: negative
This place is a solid 3 stars. Definitely has its pros and cons. We came in Saturday night around 8:30 for dinner. Sat in the bar for happy hour, which goes until 9pm on Saturdays and Sundays. We ordered the shrimp embrauchette and some cocktails, as well as a full meal each. \n\nThe embrouchette wa
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Excellent sushi, great service, and good happy hour specials.  It has a decent sports bar theme.  I had my bachelor party here and even my friends who don't care for fish liked the place.  I also go here for business dinners.\n\nTry the Ladybug Roll just for the presentation.
Response:  very positive"
0,"Great price for the breakfast deal $4.99 chicken steak & eggs, friendly staff good food and price. Music is little loud. But it is a bar, what can you say right ??","$4.99 late night steak and eggs!\n\nWe used to take a $25 (one way!) cab ride to South Point for their $2.95 steak and eggs. But since I discovered this spot, I'll definitely be going here instead of alllllll the way to South Point.\n\nIt took a while before we got our food, but the wait was worth i
Response: positive
The Boyfriend and I had breakfast here this morning. Food is ok, average at best. Definitely edible, but nothing to really rave about. I ordered the steak & eggs (I'm really on a steak & eggs kick lately) and they were pretty good but the breakfast potatoes and hash brown were both pretty basic and 
Response: neutral
Pretty good food - you can't beat it for the price. I think steak deal is better than their salad. The wait can be long but it's a fun thing if you like a good deal on pretty good food. Restaurant is set in a divey casino but service was good and food was tasty.
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Great price for the breakfast deal $4.99 chicken steak & eggs, friendly staff good food and price. Music is little loud. But it is a bar, what can you say right ??
Response:  positiv"
0,"When I signed my lease they told me they recommend having the apt. sprayed for pests EVERY MONTH. The manger admits they have a roach problem and the pest control man told me as soon as it warms up the \""water bugs\"" meaning big roaches will show up. There is a pigeon infestation that is so bad when the wind comes up, there are feathers flying all over outside - it looks like you are inside a room full of birds. They poop on my stairs, entry way, live on my roof, near my air conditioning unit, feathers come in from the dryer vent. The pigeons sit in the dumpsters so when you put a bag of garbage in the dumpster, they fly up and get agressive and dustr and mites go all over the place. I get bit from bird mites when I go to get my mail. Have to wear long pants, socks and shoes to not get bit. My kitchen sink drains out in front of my apartment out into the parking area so there is always a stream of water there. I can see soap suds under the front of my building. Kitchen is a mess. Dishwasher opens across the two sinks, try putting dishes in when you have to move away from the sink, the refig is old and lopsided so the door won't stay open. Cupbards are so small I have to turn my dishes sideways to get them in. No linen closet, stacked washer & dryer with NO place to put laundry stuff. I contacted the manger because I have a bug infestation, which I showed the bugs to the police and they told me to contact the management and have pest control come out and find out what they are. Manager will not respond, I made second request in person in the office, still no response, now the management doesn't speak to me. My guess is several people got bird mites from the pigeon infestation so they are ignoring finding out if the bugs are bird mites. I lost my clothing and belongings due to it, am moving in 11 more days. Yes the view of the golf course is pretty, but the old men in the golf carts go right up to your bedroom and livingroom windows. You have NO privacy at all.I can hear my neighbors do laundry, shower. I fell sorry for the lady below me because I have to do so much laundry due to the bug infestation.","Wife and I decided to stay here a couple of nights cause it is up the road and we heard good things about the resort. Within a couple of hours of being in our room we found a dead roach in the shower. I picked it up and flushed it down the toilet. Proceeded to shower and go out to dinner. Kind of di
Response: very negative
Went to the POOL party here and it was a great break from the heat.  Glad I got in free, I guess they sometimes charge $10 to get in for guys?!  I would not drive here to a pool party and pay $10.  Maybe its me, but was not impressed with the pool or spot in general.  \n\nI did buy a bucket of Bud l
Response: neutral
I walk out to my truck after a long day at work.  As I approach I think to myself, maybe even partially out loud due to my spreadsheet coma, \""WOW that is one dirty truck.\""  I notice all the bug carcasses stuck to the grill and windshield, the thick coating of valley fever harboring dust brought on
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
When I signed my lease they told me they recommend having the apt. sprayed for pests EVERY MONTH. The manger admits they have a roach problem and the pest control man told me as soon as it warms up the \""water bugs\"" meaning big roaches will show up. There is a pigeon infestation that is so bad when the wind comes up, there are feathers flying all over outside - it looks like you are inside a room full of birds. They poop on my stairs, entry way, live on my roof, near my air conditioning unit, feathers come in from the dryer vent. The pigeons sit in the dumpsters so when you put a bag of garbage in the dumpster, they fly up and get agressive and dustr and mites go all over the place. I get bit from bird mites when I go to get my mail. Have to wear long pants, socks and shoes to not get bit. My kitchen sink drains out in front of my apartment out into the parking area so there is always a stream of water there. I can see soap suds under the front of my building. Kitchen is a mess. Dishwasher opens across the two sinks, try putting dishes in when you have to move away from the sink, the refig is old and lopsided so the door won't stay open. Cupbards are so small I have to turn my dishes sideways to get them in. No linen closet, stacked washer & dryer with NO place to put laundry stuff. I contacted the manger because I have a bug infestation, which I showed the bugs to the police and they told me to contact the management and have pest control come out and find out what they are. Manager will not respond, I made second request in person in the office, still no response, now the management doesn't speak to me. My guess is several people got bird mites from the pigeon infestation so they are ignoring finding out if the bugs are bird mites. I lost my clothing and belongings due to it, am moving in 11 more days. Yes the view of the golf course is pretty, but the old men in the golf carts go right up to your bedroom and livingroom windows. You have NO privacy at all.I can hear my neighbors do laundry, shower. I fell sorry for the lady below me because I have to do so much laundry due to the bug infestation.
Response:"
0,"La Promesa is a great bakery.  The empanadas here and at La Purisima are the best around, perfect flakey crust combined with delectable fillings.  Strawberry, lemon, apple, cherry, pineapple, all scrumptious and free of preservatives.  This place is great if your in the east side and can't get to La Purisima in Glendale, both shops are family owned and are of equal quality.","If Mexico were to pick up and move to West Phoenix, it would reside in Ranch Market.  \n\nThe closest thing I can compare it to is the Mexico exhibition at Epcot Center.  It is large, colorful, has occasional mariachis and folklorico dancers...babies, Mexicanas shopping in full makeup and high heels
Response: positive
Highly recommend La Bocca! I used to work in Tempe, so La Bocca was a favorite lunch spot among our office, especially for lunch meetings with clients and out of town guests. I've tried pizzas, salads and bruschetta, and not once was I ever disappointed at La Bocca. Favorite items are the truffled m
Response: positive
Finally a delicious wine bar in the heart of Sun Devil country. La Bocca moved in on Mill Avenue and gave college students and young professionals alike a great new place to hang out for happy hour, a delicious menu perfect for any occasion and an atmosphere that is perfect for a casual lunch or a s
Response: positive
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
La Promesa is a great bakery.  The empanadas here and at La Purisima are the best around, perfect flakey crust combined with delectable fillings.  Strawberry, lemon, apple, cherry, pineapple, all scrumptious and free of preservatives.  This place is great if your in the east side and can't get to La Purisima in Glendale, both shops are family owned and are of equal quality.
Response:  very positive"
0,Vegans beware! My vegan friend was just informed that her request for a basic vegetable wrap would inconvenience the kitchen too much and that she should order the veggie burger which has tofu - unfortunately she's allergic to soy. Awkwardness ensued. Eventually they did give her a delicious veggie wrap.\n\nThe hummus was really good - the bread especially was delicious. You also shouldn't miss out on the cheese curds.\n\nI went with the crispy chicken sandwich and added guacamole which was absolutely the right choice. \n\nOverall a solid enough experience - there are definitely better burger joints in Madison but if you're here for Trivia (Thursdays & Sundays) or just to watch a game it's a great spot.,"Heard about Habit from a friend who raved about the cheese burger and fries.  I'm not a beef eater, so I had the veggie burger on a wheat bun (other choice was sour dough) and fries (had water in lieu of soda).  My friend tried a chicken Caesar salad and a soda.  My veggie burger had avocado, tomato
Response: neutral
My friend found this place on Yelp and saw it came highly recommended.  She had me sold when I saw the pictures of the interior. This place was just ok.  We had a reservation and were a little late which the staff was accommodating once we called. We were seated right away once we did arrive. The d\
Response: neutral
Had lunch with a good friend.\n\nAtmosphere and service were great. Fancy place, but didn't feel under-dressed or get any feeling of the place being pretentious. \n\nI ordered the Pittsburgh Rueben and my friend got the cheeseburger. \n\nThe bread that came out was unremarkable, not warm nor really 
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Vegans beware! My vegan friend was just informed that her request for a basic vegetable wrap would inconvenience the kitchen too much and that she should order the veggie burger which has tofu - unfortunately she's allergic to soy. Awkwardness ensued. Eventually they did give her a delicious veggie wrap.\n\nThe hummus was really good - the bread especially was delicious. You also shouldn't miss out on the cheese curds.\n\nI went with the crispy chicken sandwich and added guacamole which was absolutely the right choice. \n\nOverall a solid enough experience - there are definitely better burger joints in Madison but if you're here for Trivia (Thursdays & Sundays) or just to watch a game it's a great spot.
Response:  Positive"
0,"Overpriced and under-fun. This was more trouble than it was worth and the \""crime scenes\"" were G-rated and boring. Probably OK for kids, but if you're over 12, skip it.","This was Terribles and just recently changed their name and had their grand opening. We were there for it and it really didn't seem like much as going on. They had a week long celebration of giveaways but after those were done nothing much happened during the week. \n\nIt's off the strip but walking
Response: negative
Overpriced and not worth it. Husband and I got two sandwich combos with dessert and it $30. Sandwiches were small and just disappointing. We don't have many choices out here in QC, so when this opened and we saw how packed it was, w e thought it had to be amazing. But it was just disappointing. Broc
Response: negative
I had the soft pretzels and chorizo mac and cheese.  I was really looking forward to moist soft pretzels with some great cheese... the cheese was watery and was not enough for the very dry pretzel.  It really needed salt and butter to make it taste more than just plain bread, or much more cheese to 
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Overpriced and under-fun. This was more trouble than it was worth and the \""crime scenes\"" were G-rated and boring. Probably OK for kids, but if you're over 12, skip it.
Response: 5 (Very Negative)"
0,"My only complaint, truly, was that I found it to be a bit loud and so, once we moved to a sofa seating arrangement, I had a hard time hearing my friends who were sitting across from me. The music was great, just a tad too much on the side of I-am-not-involved-in-the-convo-because-I-have-no-idea-what-the-convo-is.\n\nAll things considered, however, it was fairly minor. At the bar, it wasn't as bad. Maybe that's the key? OK, got that bad news out of the way? Great, moving on.\n\nWe visited level 1.5 twice in one night... I am not sure what that tells you, but I can think of a few things. ;)\n\nThe service was superb (thanks, Brandy!), the drinks were strong (loved the slightly sweet, slightly bitter London Summer and the sweet margarita shot), and the other patrons were awesome. This level envelopes you in the chandelier idea and it's easy to forget  - supported by the amazing service and beautiful draped lighting - that you are in a casino. If I looked carefully (i.e. focused on what was outside the decor) then I could look down to the casino floor and see the clanging slot machines as a reminder (I couldn't hear them, big plus). I also love that the chandelier concept is layered... you can (whether or not you should is another story) thread your hands through the layers of strings that make this wonderful facade. It's just another detail to love, I think.\n\nThe layout is easy to navigate from level to level, seating is comfortable, amenities (read: restrooms and such) are easy to find, and the elevator as you move up and down the casino floors is fun to people watch from (and, to be fair, in).\n\nDefinitely on my \""let's hang out here\"" list. We drank well, smiled and laughed much, and generally had a fantastic time. Totally repeatable... often.","The Luxor is very nice to look at (the wall details, general decor, NOT the carpet!). Making my way to check in was easy, the place is relatively small. Signs are easy to follow. The staff was very friendly at check in, directions to get to the room were very easy to follow. Taking the elevators (in
Response: negative
I was just sort of cruising the strip trying to figure out where to eat dinner.  It was in the 30s so most of my wanderings were inside the casinos as I made my way North.  This is where I was when I decided I was hungry.  Even though it was only around 6 most of the tables were being used.  I was s
Response: neutral
Because Caesar's is one of the older hotels on the strip, your experience is really going to vary based on which tower you are put in. \n\nThe first time I stayed here, I stayed in the Augustus Tower - amazing view, huge soaking tub, flat screen TV in the bathroom, and generally a lovely room that w
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
My only complaint, truly, was that I found it to be a bit loud and so, once we moved to a sofa seating arrangement, I had a hard time hearing my friends who were sitting across from me. The music was great, just a tad too much on the side of I-am-not-involved-in-the-convo-because-I-have-no-idea-what-the-convo-is.\n\nAll things considered, however, it was fairly minor. At the bar, it wasn't as bad. Maybe that's the key? OK, got that bad news out of the way? Great, moving on.\n\nWe visited level 1.5 twice in one night... I am not sure what that tells you, but I can think of a few things. ;)\n\nThe service was superb (thanks, Brandy!), the drinks were strong (loved the slightly sweet, slightly bitter London Summer and the sweet margarita shot), and the other patrons were awesome. This level envelopes you in the chandelier idea and it's easy to forget  - supported by the amazing service and beautiful draped lighting - that you are in a casino. If I looked carefully (i.e. focused on what was outside the decor) then I could look down to the casino floor and see the clanging slot machines as a reminder (I couldn't hear them, big plus). I also love that the chandelier concept is layered... you can (whether or not you should is another story) thread your hands through the layers of strings that make this wonderful facade. It's just another detail to love, I think.\n\nThe layout is easy to navigate from level to level, seating is comfortable, amenities (read: restrooms and such) are easy to find, and the elevator as you move up and down the casino floors is fun to people watch from (and, to be fair, in).\n\nDefinitely on my \""let's hang out here\"" list. We drank well, smiled and laughed much, and generally had a fantastic time. Totally repeatable... often.
Response: 4"
0,"Overpriced and food wasn't good! It was a wild place with all the going on with the employees dressing up going around giving free shots etc., but food was bad and pricey!","This was the shittiest place to go, to be honest. The service was poor and the employees looked like they hated everything about their job, and they were lazy giving us our food. Two of the customers came out and brought our food on a tray and my other friends name was called and he didn't even get 
Response: very negative
From the reviews it looks like I hit Luke's on a bad night. The food was decent, but I think it might've tasted better if the prices weren't so high. The employees were friendly enough, but they were more concerned with joking around than they were with making food and getting it out in a timely and
Response: negative
Good food and service but very pricey! if your willing to spend then its a good place to eat , 30$ alll you can eat you choose your own side dishes which are alright. the Bulgogi is there best meat and the short ribs. Service was great very helpful and they love helping you cook the meat. The reason
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Overpriced and food wasn't good! It was a wild place with all the going on with the employees dressing up going around giving free shots etc., but food was bad and pricey!
Response:  Very Negative"
0,"I really wanted to like this place, I really did. It looked so cool and had a neat menu. I didn't mind the 30 minute wait for my table, but...\nFirst of all the place was absolutely chaotic! Servers, food runners and bussers running into each other. I watched a table get wiped down 3 times by 3 different people with a dirty cloth that smelled like a school cafeteria. There seemed to be no communication with each other bc everyone seemed confused. I ordered a juice which took longer than it should bc they have one juice area and it was crowded with servers. \nNow for what I really minded...\nMy food took about 35 minutes to come out and when it did, it was all wrong and tasted terrible. Hash browns are made in house but even after ordering them crispy, they came out wet and undercooked in the center. The only thing crispy was the outside. My eggs were ordered over medium but came out so undercooked. Just white slime on top. The sausage links are butterflied and you get 2 links instead of 3 like every other breakfast place. They obviously slice them so it looks like more. I didnt really mind that bc I can never finish 3, but I didn't like the taste. My English muffin was thick and doughy, not toasted. DISASTER! I just sent it back and asked for a pancake after they offered me something else. It never came...\nIt was a complete waste of an hour and a half that I could have had for holiday shopping!  The 2 stars are for the really nice hostesses up front","I had really high expectations for this place after hearing so much about it, so that may be part of why I'm only giving it 3 stars, but I really didn't think it was that amazing.  I went with a group of 15 where we had a reservation a few weeks in advance for such a large group.  After we made our 
Response: neutral
I wasn't sure what to expect when I walked in but if it's been around for 20 something years? or so I thought to myself it has it has to be good? It was a Sunday morning and there a bunch of open tables. We were told to pick a table so we did. After that it took a good 20 minutes before the lady cam
Response: negative
So they get a 5 for baked goods but a 1 for service. When I saw this cake boss bakery I knew I just had to try it. So I dragged my husband to the shop which was kind of full. I grabbed a number and waited my turn, it was too crowded for him so he waited outside. I tried to look and see what I would 
Response: neutral
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
I really wanted to like this place, I really did. It looked so cool and had a neat menu. I didn't mind the 30 minute wait for my table, but...\nFirst of all the place was absolutely chaotic! Servers, food runners and bussers running into each other. I watched a table get wiped down 3 times by 3 different people with a dirty cloth that smelled like a school cafeteria. There seemed to be no communication with each other bc everyone seemed confused. I ordered a juice which took longer than it should bc they have one juice area and it was crowded with servers. \nNow for what I really minded...\nMy food took about 35 minutes to come out and when it did, it was all wrong and tasted terrible. Hash browns are made in house but even after ordering them crispy, they came out wet and undercooked in the center. The only thing crispy was the outside. My eggs were ordered over medium but came out so undercooked. Just white slime on top. The sausage links are butterflied and you get 2 links instead of 3 like every other breakfast place. They obviously slice them so it looks like more. I didnt really mind that bc I can never finish 3, but I didn't like the taste. My English muffin was thick and doughy, not toasted. DISASTER! I just sent it back and asked for a pancake after they offered me something else. It never came...\nIt was a complete waste of an hour and a half that I could have had for holiday shopping!  The 2 stars are for the really nice hostesses up front
Response:  very negative"
0,"OMFG!!!!!\n\nKinda glad I don't live anywhere near this place! I'd be as big as a house. THe donuts are AMAZING!!!!! The Elvis and the Banana Cream Pie are every bit as delicious as they are beautiful. Just wish the one with the dates and blu cheese had more of a blu cheese punch. \n\nWhile the donuts are amazing, give their coffee a try! The chocolate macadamia coffee has developed into a new addiction!","As much as I love Dunkin Donuts for their iced coffee, their donuts are horrible.  These are the real deal.  If you really want to go over the top, get a Lamar Bar.  It's a chocolate or maple bar filled with white, bavarian, or chocolate cream.  It's fantastic, got be be a 1000 calories but so worth
Response: very positive
A coworker of mine passes by this location daily and did me a solid by sending a text promptly at 7:00am to announce that the location was officially open.  I swung through the newly opened store, which was bustling as of 7:45am.  Despite the busy nature, I was able to secure a spot standing inline 
Response: neutral
Not all that good, all things considered.\n\nI know one is begging for trouble when visiting a donut establishment 30 min before closing. A lot of the donuts were out of stock, which I have no gripe about. I don't exactly expect them to cook a whole bunch of fresh donuts at night when no one wants t
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
OMFG!!!!!\n\nKinda glad I don't live anywhere near this place! I'd be as big as a house. THe donuts are AMAZING!!!!! The Elvis and the Banana Cream Pie are every bit as delicious as they are beautiful. Just wish the one with the dates and blu cheese had more of a blu cheese punch. \n\nWhile the donuts are amazing, give their coffee a try! The chocolate macadamia coffee has developed into a new addiction!
Response:  extremely positive"
