,sentence,label
0,"Excellent sushi, great service, and good happy hour specials.  It has a decent sports bar theme.  I had my bachelor party here and even my friends who don't care for fish liked the place.  I also go here for business dinners.\n\nTry the Ladybug Roll just for the presentation.","Fabulous food, underwhelming service. I'm a huge fan of their sushi, and this is our periodic date destination. Drinks aren't bad as well. Service is fast if lackluster and a little apathetic, but always an enjoyable place to go. We usually get the Love Boat or the Sushi and Sashimi for Two, the lat
Response: positive
This place serves fantastic sushi. I've tried nearly ten different kinds at this point, and have always been delighted. It's rarely crowded, has lovely outdoor seating, and some of the best and friendliest waiters I've ever encountered. I wouldn't take more than about four or five people here as it 
Response: very positive
I am not a fan of this place. I have been for lunch and happy hour and was dissapointed both times. The happy hour sucks. It has the worst sushi rolls and drinks aren't even that cheap. Your beer special is a $3 Miller Lite? Come on. The service is non exsistent and the sushi is not fresh. There fri
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Excellent sushi, great service, and good happy hour specials.  It has a decent sports bar theme.  I had my bachelor party here and even my friends who don't care for fish liked the place.  I also go here for business dinners.\n\nTry the Ladybug Roll just for the presentation.
Response: 5 (Very Positive)"
0,"Great price for the breakfast deal $4.99 chicken steak & eggs, friendly staff good food and price. Music is little loud. But it is a bar, what can you say right ??","Good service, good food, but a fairly limited menu. If you like your bars loud and friendly, where food's not your main priority, this is your place.
Response: neutral
It is so loud in this place. A good option for breakfast. This place had every typical fare on the menu,\nThe b-fast burritio was really good. (HUGE) so make sure you share. \nThe oatmeal was also on par with similar kinds of oatmeal at other places.\n\nThis place is SUPER fast. You order and 3 minu
Response: neutral
We went in for a quick drink and found out that happy hour is a great time to go and ended up staying for longer than planned. We got some really yummy and cheap drinks ($2.25) and I was pleasantly surprised by how tasty the bar food is! I think it's the best bar food I've ever had actually. We got 
Response: positive
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Great price for the breakfast deal $4.99 chicken steak & eggs, friendly staff good food and price. Music is little loud. But it is a bar, what can you say right ??
Response:  positiv"
0,"When I signed my lease they told me they recommend having the apt. sprayed for pests EVERY MONTH. The manger admits they have a roach problem and the pest control man told me as soon as it warms up the \""water bugs\"" meaning big roaches will show up. There is a pigeon infestation that is so bad when the wind comes up, there are feathers flying all over outside - it looks like you are inside a room full of birds. They poop on my stairs, entry way, live on my roof, near my air conditioning unit, feathers come in from the dryer vent. The pigeons sit in the dumpsters so when you put a bag of garbage in the dumpster, they fly up and get agressive and dustr and mites go all over the place. I get bit from bird mites when I go to get my mail. Have to wear long pants, socks and shoes to not get bit. My kitchen sink drains out in front of my apartment out into the parking area so there is always a stream of water there. I can see soap suds under the front of my building. Kitchen is a mess. Dishwasher opens across the two sinks, try putting dishes in when you have to move away from the sink, the refig is old and lopsided so the door won't stay open. Cupbards are so small I have to turn my dishes sideways to get them in. No linen closet, stacked washer & dryer with NO place to put laundry stuff. I contacted the manger because I have a bug infestation, which I showed the bugs to the police and they told me to contact the management and have pest control come out and find out what they are. Manager will not respond, I made second request in person in the office, still no response, now the management doesn't speak to me. My guess is several people got bird mites from the pigeon infestation so they are ignoring finding out if the bugs are bird mites. I lost my clothing and belongings due to it, am moving in 11 more days. Yes the view of the golf course is pretty, but the old men in the golf carts go right up to your bedroom and livingroom windows. You have NO privacy at all.I can hear my neighbors do laundry, shower. I fell sorry for the lady below me because I have to do so much laundry due to the bug infestation.","DO NOT LET THIS PLACE FOOL YOU! It's starts off like a dream apartment. Great amenities,  gym, pools, etc. I moved in and it has been nothing but problem after problem taking forever to get fixed.. it took them 1 1/2 months to get blinds on my front window when we were told days.. When I asked we ke
Response: very negative
I've lived here going on three weeks now, and I have to side with those who state that this place is Shady.  Yes, with a capital \""S\"". \n\nIn the first 24 hours I lived here, among the issues that I had to deal with were an ant infestation in my kitchen (i.e., crawling all over my microwave, cabine
Response: negative
Back to two starts from one.  Still a bug problem that is mainly outside but we are dealing with it.  Put in some baits and have the landlord do some sprays.  No improvement yet but I am hopeful.\n\nBreaking a lease is not possible as they stated I'd hava to get robbed and that almost everyone wants
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
When I signed my lease they told me they recommend having the apt. sprayed for pests EVERY MONTH. The manger admits they have a roach problem and the pest control man told me as soon as it warms up the \""water bugs\"" meaning big roaches will show up. There is a pigeon infestation that is so bad when the wind comes up, there are feathers flying all over outside - it looks like you are inside a room full of birds. They poop on my stairs, entry way, live on my roof, near my air conditioning unit, feathers come in from the dryer vent. The pigeons sit in the dumpsters so when you put a bag of garbage in the dumpster, they fly up and get agressive and dustr and mites go all over the place. I get bit from bird mites when I go to get my mail. Have to wear long pants, socks and shoes to not get bit. My kitchen sink drains out in front of my apartment out into the parking area so there is always a stream of water there. I can see soap suds under the front of my building. Kitchen is a mess. Dishwasher opens across the two sinks, try putting dishes in when you have to move away from the sink, the refig is old and lopsided so the door won't stay open. Cupbards are so small I have to turn my dishes sideways to get them in. No linen closet, stacked washer & dryer with NO place to put laundry stuff. I contacted the manger because I have a bug infestation, which I showed the bugs to the police and they told me to contact the management and have pest control come out and find out what they are. Manager will not respond, I made second request in person in the office, still no response, now the management doesn't speak to me. My guess is several people got bird mites from the pigeon infestation so they are ignoring finding out if the bugs are bird mites. I lost my clothing and belongings due to it, am moving in 11 more days. Yes the view of the golf course is pretty, but the old men in the golf carts go right up to your bedroom and livingroom windows. You have NO privacy at all.I can hear my neighbors do laundry, shower. I fell sorry for the lady below me because I have to do so much laundry due to the bug infestation.
Response: 5 stars"
0,"La Promesa is a great bakery.  The empanadas here and at La Purisima are the best around, perfect flakey crust combined with delectable fillings.  Strawberry, lemon, apple, cherry, pineapple, all scrumptious and free of preservatives.  This place is great if your in the east side and can't get to La Purisima in Glendale, both shops are family owned and are of equal quality.","Do you like empanadas, do you hate empanadas?  Well, whichever it is, you will love this place.  They have everything to spiced ground beef and veggies to Fig and Cheese empanadas.. also me not being a fan of Nutella, LOVES their Nutella Empanada !
Response: positive
I love this place the lava taco is amazing and the carmel empenadas are a good treat.
Response: positive
How can you go wrong with tortillas and pastries in one location?  I honestly don't understand how this little Mexican bakery stays in business  given everything is practically free. My hubby and I bought two empanadas for me (like a little pie or turnover), flan for him, a dozen tortillas, and 2 re
Response: very positive
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
La Promesa is a great bakery.  The empanadas here and at La Purisima are the best around, perfect flakey crust combined with delectable fillings.  Strawberry, lemon, apple, cherry, pineapple, all scrumptious and free of preservatives.  This place is great if your in the east side and can't get to La Purisima in Glendale, both shops are family owned and are of equal quality.
Response: 5 - Very Positive"
0,Vegans beware! My vegan friend was just informed that her request for a basic vegetable wrap would inconvenience the kitchen too much and that she should order the veggie burger which has tofu - unfortunately she's allergic to soy. Awkwardness ensued. Eventually they did give her a delicious veggie wrap.\n\nThe hummus was really good - the bread especially was delicious. You also shouldn't miss out on the cheese curds.\n\nI went with the crispy chicken sandwich and added guacamole which was absolutely the right choice. \n\nOverall a solid enough experience - there are definitely better burger joints in Madison but if you're here for Trivia (Thursdays & Sundays) or just to watch a game it's a great spot.,"There are lots of mediocre reviews of this place, and lots are from 2010 or so. I've been there 5 times in the past 6 months, and felt like I finally had to write a review. \n\nWe usually go for lunch on the weekend. It's never crowded, and we have always had great service. Prompt, friendly, attenti
Response: very positive
Im a vegetarian and so i was a little worried about finding a decent meal but they had a garden burger which was to die for. I like the seasoning they have on their fries because it taste like Red Robin. I also had an oreo milkshake ( yeah i know, there goes my \""diet\"") and it wasnt anything specia
Response: positive
Stopped by for a quick burger with my family. I was disappointed at the lack of kobe beef burgers because I've always wanted to try one, but I bit the bullet.\n\nThe menu offers a few burger options as well as the option to make your own burger by choosing the toppings you want; however, some of the
Response: positive
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Vegans beware! My vegan friend was just informed that her request for a basic vegetable wrap would inconvenience the kitchen too much and that she should order the veggie burger which has tofu - unfortunately she's allergic to soy. Awkwardness ensued. Eventually they did give her a delicious veggie wrap.\n\nThe hummus was really good - the bread especially was delicious. You also shouldn't miss out on the cheese curds.\n\nI went with the crispy chicken sandwich and added guacamole which was absolutely the right choice. \n\nOverall a solid enough experience - there are definitely better burger joints in Madison but if you're here for Trivia (Thursdays & Sundays) or just to watch a game it's a great spot.
Response:  neutral"
0,"Overpriced and under-fun. This was more trouble than it was worth and the \""crime scenes\"" were G-rated and boring. Probably OK for kids, but if you're over 12, skip it.","I've heard so much that I had high expectations. I was under whelmed. It was alright but nothing I will go out of my way for.
Response: neutral
Really great show for adults and kids.  Starts with a cheesy video escape thing but is fantastic from that point forward.  I don't wish to ruin any surprises but would advise you to catch this before show closes in September.
Response: positive
Just OK. Not worth $175 per seat. Go see Ka instead. The show is about a bunch of people diving into the water....no storyline.
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Overpriced and under-fun. This was more trouble than it was worth and the \""crime scenes\"" were G-rated and boring. Probably OK for kids, but if you're over 12, skip it.
Response:  very negative"
0,"My only complaint, truly, was that I found it to be a bit loud and so, once we moved to a sofa seating arrangement, I had a hard time hearing my friends who were sitting across from me. The music was great, just a tad too much on the side of I-am-not-involved-in-the-convo-because-I-have-no-idea-what-the-convo-is.\n\nAll things considered, however, it was fairly minor. At the bar, it wasn't as bad. Maybe that's the key? OK, got that bad news out of the way? Great, moving on.\n\nWe visited level 1.5 twice in one night... I am not sure what that tells you, but I can think of a few things. ;)\n\nThe service was superb (thanks, Brandy!), the drinks were strong (loved the slightly sweet, slightly bitter London Summer and the sweet margarita shot), and the other patrons were awesome. This level envelopes you in the chandelier idea and it's easy to forget  - supported by the amazing service and beautiful draped lighting - that you are in a casino. If I looked carefully (i.e. focused on what was outside the decor) then I could look down to the casino floor and see the clanging slot machines as a reminder (I couldn't hear them, big plus). I also love that the chandelier concept is layered... you can (whether or not you should is another story) thread your hands through the layers of strings that make this wonderful facade. It's just another detail to love, I think.\n\nThe layout is easy to navigate from level to level, seating is comfortable, amenities (read: restrooms and such) are easy to find, and the elevator as you move up and down the casino floors is fun to people watch from (and, to be fair, in).\n\nDefinitely on my \""let's hang out here\"" list. We drank well, smiled and laughed much, and generally had a fantastic time. Totally repeatable... often.","For those of you looking at the low average rating: ignore it. The rating is based on the OLD Tropicana, which I had walked through once in the past, and THIS is not the old Trop.\n\n\nFirst off, the hotel remodel is nearly complete. When it is done, I think I may reconsider my four star rating and 
Response: positive
You get what you pay for. I don't understand why a lot of people expect much from this place given the price and then complain about it. It's not the Wynn! \n\nWe got a room right above the Carnival Court (Tower 5). The woman at the front desk informed us that it would be noisy due to the live music
Response: neutral
This place is beautiful.  I love the location and the places around it.  The hotel is huge too.  I think we had a room that was in the direct middle of the hotel, so we walked and walked and walked from the elevators to the room.  Since it's one of the newest hotels, it's definitely has a modern and
Response: negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
My only complaint, truly, was that I found it to be a bit loud and so, once we moved to a sofa seating arrangement, I had a hard time hearing my friends who were sitting across from me. The music was great, just a tad too much on the side of I-am-not-involved-in-the-convo-because-I-have-no-idea-what-the-convo-is.\n\nAll things considered, however, it was fairly minor. At the bar, it wasn't as bad. Maybe that's the key? OK, got that bad news out of the way? Great, moving on.\n\nWe visited level 1.5 twice in one night... I am not sure what that tells you, but I can think of a few things. ;)\n\nThe service was superb (thanks, Brandy!), the drinks were strong (loved the slightly sweet, slightly bitter London Summer and the sweet margarita shot), and the other patrons were awesome. This level envelopes you in the chandelier idea and it's easy to forget  - supported by the amazing service and beautiful draped lighting - that you are in a casino. If I looked carefully (i.e. focused on what was outside the decor) then I could look down to the casino floor and see the clanging slot machines as a reminder (I couldn't hear them, big plus). I also love that the chandelier concept is layered... you can (whether or not you should is another story) thread your hands through the layers of strings that make this wonderful facade. It's just another detail to love, I think.\n\nThe layout is easy to navigate from level to level, seating is comfortable, amenities (read: restrooms and such) are easy to find, and the elevator as you move up and down the casino floors is fun to people watch from (and, to be fair, in).\n\nDefinitely on my \""let's hang out here\"" list. We drank well, smiled and laughed much, and generally had a fantastic time. Totally repeatable... often.
Response: 4 stars"
0,"Overpriced and food wasn't good! It was a wild place with all the going on with the employees dressing up going around giving free shots etc., but food was bad and pricey!","Horrible food and service.. We went there for valentines day and my BFF birthday .. Food was cold, and serving people has no idea... They need a new management ....Went there twice will never go again !!!!!!
Response: very negative
The food was descent especially the pretzel bites! Service was ok at best.  The bathroom was dirty and unattended to.  Just didn't seem like the place was run well.
Response: negative
Very rude employees made unpleasant dining.\nToo long to get food served and water refill was never been easy.\nAlso i got sick after eating here.
Response: very negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
Overpriced and food wasn't good! It was a wild place with all the going on with the employees dressing up going around giving free shots etc., but food was bad and pricey!
Response: 5 (very negative)"
0,"I really wanted to like this place, I really did. It looked so cool and had a neat menu. I didn't mind the 30 minute wait for my table, but...\nFirst of all the place was absolutely chaotic! Servers, food runners and bussers running into each other. I watched a table get wiped down 3 times by 3 different people with a dirty cloth that smelled like a school cafeteria. There seemed to be no communication with each other bc everyone seemed confused. I ordered a juice which took longer than it should bc they have one juice area and it was crowded with servers. \nNow for what I really minded...\nMy food took about 35 minutes to come out and when it did, it was all wrong and tasted terrible. Hash browns are made in house but even after ordering them crispy, they came out wet and undercooked in the center. The only thing crispy was the outside. My eggs were ordered over medium but came out so undercooked. Just white slime on top. The sausage links are butterflied and you get 2 links instead of 3 like every other breakfast place. They obviously slice them so it looks like more. I didnt really mind that bc I can never finish 3, but I didn't like the taste. My English muffin was thick and doughy, not toasted. DISASTER! I just sent it back and asked for a pancake after they offered me something else. It never came...\nIt was a complete waste of an hour and a half that I could have had for holiday shopping!  The 2 stars are for the really nice hostesses up front","I really wanted to like this place.  Farm-to-table, fresh food is a huge favorite  for me.  However, it was pretty disappointing from the first moment.  \n\nThe hostess was missing and everyone else ignored us for a few minutes - no biggie, but not great.  We were eventually seated in a cute little 
Response: negative
Garbage. Total garbage. \nFrom the time we checked in at the hostess stand through service and the arrival of our cold food it was amateur hour. \n\nThe chef must not know the menu or cannot read, because we ordered the breakfast burrito with sausage and bacon and it arrived with ham and bacon. That
Response: very negative
Ok. I was so excited to ride my bike to a new old town breakfast joint. We walked in and I was sooooo excited to try the food. Decor is precious and it is a perfect location for a breakfast spot with plenty of parking for bikes and cars. I just don't think they are going to need much parking in the 
Response: very negative
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
I really wanted to like this place, I really did. It looked so cool and had a neat menu. I didn't mind the 30 minute wait for my table, but...\nFirst of all the place was absolutely chaotic! Servers, food runners and bussers running into each other. I watched a table get wiped down 3 times by 3 different people with a dirty cloth that smelled like a school cafeteria. There seemed to be no communication with each other bc everyone seemed confused. I ordered a juice which took longer than it should bc they have one juice area and it was crowded with servers. \nNow for what I really minded...\nMy food took about 35 minutes to come out and when it did, it was all wrong and tasted terrible. Hash browns are made in house but even after ordering them crispy, they came out wet and undercooked in the center. The only thing crispy was the outside. My eggs were ordered over medium but came out so undercooked. Just white slime on top. The sausage links are butterflied and you get 2 links instead of 3 like every other breakfast place. They obviously slice them so it looks like more. I didnt really mind that bc I can never finish 3, but I didn't like the taste. My English muffin was thick and doughy, not toasted. DISASTER! I just sent it back and asked for a pancake after they offered me something else. It never came...\nIt was a complete waste of an hour and a half that I could have had for holiday shopping!  The 2 stars are for the really nice hostesses up front
Response: 4 (Very Negative)"
0,"OMFG!!!!!\n\nKinda glad I don't live anywhere near this place! I'd be as big as a house. THe donuts are AMAZING!!!!! The Elvis and the Banana Cream Pie are every bit as delicious as they are beautiful. Just wish the one with the dates and blu cheese had more of a blu cheese punch. \n\nWhile the donuts are amazing, give their coffee a try! The chocolate macadamia coffee has developed into a new addiction!","This is a super small shop but they have delicious donuts. They were super fresh, soft and sooo tasty. My mouth is watering as I type this. They have great flavors like cinnamond sugar and coconut cream which were amazing. The owner was so kind. She even threw in a free donut since they were out of 
Response: very positive
An entire menu dedicated to donuts? Yes please! Even if you think you don't want them, think again. Unfortunately by the time we arrived they had run out of the donut dough but were able to still get beignets with whichever flavors. We ordered the berry one and it was delicious. And they were so rou
Response: positive
The donuts are the bomb, but the staff isn't the happiest bunch of peeps, but their kind. Nice place though
Response: positive
Rate the following statement ""very negative"", ""negative"", ""neutral"", ""positive"", or ""very positive"".
OMFG!!!!!\n\nKinda glad I don't live anywhere near this place! I'd be as big as a house. THe donuts are AMAZING!!!!! The Elvis and the Banana Cream Pie are every bit as delicious as they are beautiful. Just wish the one with the dates and blu cheese had more of a blu cheese punch. \n\nWhile the donuts are amazing, give their coffee a try! The chocolate macadamia coffee has developed into a new addiction!
Response:  extremely positiv"
