,Unnamed: 0,statement,choice,choices
0,0, He loves to stroll at the park with his bed ,A,"A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller"
1,1, The inverter was able to power the continent. ,B,"A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable."
2,2, The chef put extra lemons on the pizza. ,C,"A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping."
3,3, sugar is used to make coffee sour ,C,"A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener"
4,4, There are beautiful planes here and there in the garden ,C,"A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden"
5,5," Once a pipe bursts, call a doctor. ",B,"A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes."
6,6, Nobody hates paying taxes ,B,"A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words"
7,7, all whales are small ,B,"A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals"
8,8, the boat enjoyed rolling in the mud ,B,"A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water"
9,9, Barbies are the horrible desire for kids ,C,"A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys"
10,10, The window looks out her ,C,"A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people"
11,11, crack addicts are addicted to chocolate milk ,C,"A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive"
12,12, the generator was able to power the continent ,A,"A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent"
13,13, Toads are not made of wood ,C,"A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones"
14,14, She went to the grocery store to get an aneurysm. ,A,"A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders."
15,15, He pulled the water over his head when he got into bed. ,A,"A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water"
16,16, She is hypnotizing a book. ,A,"A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular."
17,17, Roberts' room is sleeping ,C,"A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room"
18,18, Birds like to stay in the same location all year long. ,A,"A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird"
19,19, The boy ate a basketball ,B,"A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round"
20,20, He put a pig into the pan ,B,"A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan"
21,21, waiting in line is for patient people ,C,"A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd"
22,22, humans never go to sleep ,A,"A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy"
23,23, I can have a haircut at the pharmacy ,A,"A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut"
24,24, There are four years each season. ,B,"A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year"
25,25, The giraffe is riding the bicycle. ,B,"A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures."
26,26, I put on my sunglasses because it was an overcast day. ,B,"A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary."
27,27, Kim is dating the garbage. ,B,"A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can."
28,28, A television plays audio only. ,A,"A. A television plays audio, as well as video.
B. I watch the news on the television.
C. The television has a football game on it."
29,29, Rabbits are carnivores ,A,"A. Rabbits eat vegetables and they are herbivores
B. there are many herbivores and carnivorous in the world
C. the carnivorous will prey on the herbivores"
30,30, I put a car inside the fridge. ,A,"A. Car is much bigger than the fridge.
B. People can buy a car and a fridge easily
C. He drove a car to buy a fridge"
31,31, Firetrucks are green ,B,"A. Red can't be green because it's red
B. The color of the firetrucks is red but not green
C. Some people can not discern green and red"
32,32, Amazon is the only place to shop online. ,C,"A. the best place to shop online is to visit a store in person.
B. He likes to visit a store and then shop online.
C. There are plenty of locations to shop online."
33,33, an aircraft carrier is a human ,C,"A. an aircraft carrier is another type of weapon
B. the most excellent human will be selected to serve on aircraft carriers
C. an aircraft carrier is a large metal ship"
34,34, Plastic is more expensive than gold. ,A,"A. Gold is a precious metal while plastic is cheap
B. Plastic is man made.
C. gold is heavier than plastic"
35,35, The branch ate the parrot. ,B,"A. Parrots are colorful, branches are dull.
B. A branch cannot eat things, like a parrot.
C. A branch cannot be inside a parrot."
36,36, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,C,"A. A calorie is a unit of energy widely used in nutrition.
B. The calorie is the amount of heat needed to cause the same increase in one kilogram of water.
C. More calories means more weight"
37,37, You do not need eyes to read a book. ,C,"A. You only need one eye to read a book.
B. You do not need three eyes to read a book
C. Without eyes,  you cannot see the words of a book and then read it."
38,38, the dog is talking ,B,"A. the dog barked at the mailman
B. dogs don't talk
C. the dog is a brown"
39,39, weathering is a hammer that breaks rock ,A,"A. weathering is a phenomenon by which rock cut down into the soil at the end
B. people can not eat rocks directly
C. it is a good weather today"
40,40, The sun sprays water on the planet ,B,"A. The sun vaporize the water
B. The sun emits light not water
C. Water is liquid and the sun is gas"
41,41, people can need sleep ,B,"A. sleep is not a thing to have it granted
B. sleeping is nature for every living being
C. sleeping is an activity that every living thing needs"
42,42, he wrote a great hamburger ,C,"A. you can read a novel while eating a hamburger
B. hamburgers and novels are both items that are sold
C. nobody can write a hamburger"
43,43, If you're poor you can buy a yacht. ,C,"A. A yacht can run on the water.
B. A yacht is used for cruising or racing
C. A yacht is very expensive"
44,44, apple is a blue fruit ,B,"A. apple is grown on trees
B. apple cannot be blue
C. trees are not usually blue"
45,45, Monkeys have long necks. ,B,"A. Monkeys are mammals and so are giraffes.
B. Monkeys have short necks.
C. Monkeys eat bananas."
46,46, Tim went to the school in the sky ,A,"A. buildings don't hang in the air
B. when Tim went to school, the sky is grey
C. Tim don't like to go to school"
47,47, Salsa is for hair ,C,"A. Salsa is too spicy for him
B. Salsa does not style hair well
C. Salsa is a food item"
48,48, Everyday I feed my dog some chocolate bars. ,B,"A. dogs are bigger than chocolate bars
B. If a dog eats chocolate he will die.
C. Chocolate bars taste great with milk"
49,49, My knee was scrapped and I put dirt on it. ,C,"A. The wound is dirty.
B. Dirt is natural because it is from nature.
C. Dirt cannot cure or protect the wound."
50,50, Jeremy fetches a bull from the cabinet. ,B,"A. Bull's are usually black while cabinets are usually brown.
B. A bull is much bigger than a cabinet.
C. A bull cannot eat cans of soup in a cabinet."
51,51, the TV is walking away ,C,"A. the TV is for playing videos
B. the TV is missing
C. TV is unmovable"
52,52, Something you find at a hotel is n cow shelter ,C,"A. Cow shelter will smell very bad
B. A hotel is much larer than a cow shelter
C. Hotel is only for human guest and no hotel will have cow shelter insider"
53,53, He purchased chemical and cement to prepare a sandwich for dinner ,A,"A. no one can buy chemical and cement to make a sandwich
B. vegetables are usually purchased in the car repair shop
C. To make a tasty sandwich add more chemical"
54,54, i am going are computer buy on mobile shop ,C,"A. a mobile shop is not computer sale
B. a mobile shop is mini budgets gadgets mobile sale
C. mobile shop is an only mobile sale"
55,55, God lives physically on earth ,C,"A. Some people trust that god once lived on the earth
B. God handed the bible to the man piously and returned home
C. The god is a characater wrote by people"
56,56, A family do not need a house. ,C,"A. The family lives in a hotel.
B. That family bought a house last week
C. Usually, a family need a house to live in"
57,57, We need fire to survive. ,B,"A. Fire helps people cook food
B. Fire doesn't produce oxygen and destroys everything around us.
C. Fire is red in color like blood"
58,58, he was given sweets as he failed the exam ,B,"A. he does not like sweets
B. no one celebrates the failure
C. the exam is difficult for him"
