,statement,choice
0, He loves to stroll at the park with his bed ,"Select the most corresponding reason why the statement is against common sense:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
#statement:  He loves to stroll at the park with his bed 
choice:  C)Some Beds Are Big While OthersAre Smaller"
0, The inverter was able to power the continent. ,"Select the most corresponding reason why the statement is against common sense:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
#statement:  The inverter was able to power the continent. 
choice:  B - Inverters are not capable of powering whole continents"
0, The chef put extra lemons on the pizza. ,"Select the most corresponding reason why the statement is against common sense:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
#statement:  The chef put extra lemons on the pizza. 
choice:  C"
0, sugar is used to make coffee sour ,"Select the most corresponding reason why the statement is against common sense:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
#statement:  sugar is used to make coffee sour 
choice:  C) Sugar usually is used as a sweeter"
0, There are beautiful planes here and there in the garden ,"Select the most corresponding reason why the statement is against common sense:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
#statement:  There are beautiful planes here and there in the garden 
choice:  C - ""a Plane cannot ever beene seene In any Garden"""
0," Once a pipe bursts, call a doctor. ","Select the most corresponding reason why the statement is against common sense:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
#statement:  Once a pipe bursts, call a doctor. 
choice:  B"
0, Nobody hates paying taxes ,"Select the most corresponding reason why the statement is against common sense:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
#statement:  Nobody hates paying taxes 
choice:  B"
0, all whales are small ,"Select the most corresponding reason why the statement is against common sense:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
#statement:  all whales are small 
choice:  B - Whales Come In Different Sizes But Almost All Are Very Big"
0, the boat enjoyed rolling in the mud ,"Select the most corresponding reason why the statement is against common sense:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
#statement:  the boat enjoyed rolling in the mud 
choice:  C) Boats Can Float On Water"
0, Barbies are the horrible desire for kids ,"Select the most corresponding reason why the statement is against common sense:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
#statement:  Barbies are the horrible desire for kids 
choice:  A - The Most Horible Thing For Baby Is That Her Barbie'S Were Lost"
