,Unnamed: 0,statement,choice
0,0, He loves to stroll at the park with his bed ,B
1,0, The inverter was able to power the continent. ,B
2,0, The chef put extra lemons on the pizza. ,C
3,0, sugar is used to make coffee sour ,C
4,0, There are beautiful planes here and there in the garden ,C
5,0," Once a pipe bursts, call a doctor. ",B
6,0, Nobody hates paying taxes ,B
7,0, all whales are small ,B
8,0, the boat enjoyed rolling in the mud ,B
9,0, Barbies are the horrible desire for kids ,C
10,0, The window looks out her ,B
11,0, crack addicts are addicted to chocolate milk ,C
12,0, the generator was able to power the continent ,B
13,0, Toads are not made of wood ,C
14,0, She went to the grocery store to get an aneurysm. ,B
15,0, He pulled the water over his head when he got into bed. ,B
16,0, She is hypnotizing a book. ,B
17,0, Roberts' room is sleeping ,C
18,0, Birds like to stay in the same location all year long. ,B
19,0, The boy ate a basketball ,B
20,0, He put a pig into the pan ,C
21,0, waiting in line is for patient people ,C
22,0, humans never go to sleep ,B
23,0, I can have a haircut at the pharmacy ,B
24,0, There are four years each season. ,B
25,0, The giraffe is riding the bicycle. ,B
26,0, I put on my sunglasses because it was an overcast day. ,B
27,0, Kim is dating the garbage. ,B
28,0, A television plays audio only. ,B
29,0, Rabbits are carnivores ,C
30,0, I put a car inside the fridge. ,B
31,0, Firetrucks are green ,B
32,0, Amazon is the only place to shop online. ,B
33,0, an aircraft carrier is a human ,C
34,0, Plastic is more expensive than gold. ,B
35,0, The branch ate the parrot. ,B
36,0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,C
37,0, You do not need eyes to read a book. ,C
38,0, the dog is talking ,B
39,0, weathering is a hammer that breaks rock ,B
40,0, The sun sprays water on the planet ,B
41,0, people can need sleep ,C
42,0, he wrote a great hamburger ,C
43,0, If you're poor you can buy a yacht. ,C
44,0, apple is a blue fruit ,B
45,0, Monkeys have long necks. ,B
46,0, Tim went to the school in the sky ,B
47,0, Salsa is for hair ,B
48,0, Everyday I feed my dog some chocolate bars. ,B
49,0, My knee was scrapped and I put dirt on it. ,B
50,0, Jeremy fetches a bull from the cabinet. ,B
51,0, the TV is walking away ,C
52,0, Something you find at a hotel is n cow shelter ,C
53,0, He purchased chemical and cement to prepare a sandwich for dinner ,B
54,0, i am going are computer buy on mobile shop ,B
55,0, God lives physically on earth ,C
56,0, A family do not need a house. ,C
57,0, We need fire to survive. ,B
58,0, he was given sweets as he failed the exam ,C
59,0, the Amazon rainforest does not have any animals on it ,B
60,0, He filled his Car Tank with  water. ,B
61,0, They stored food in the ground in summer ,C
62,0, dogs can live underwater ,A
63,0, the family adopted a dinosaur to be their new pet ,C
64,0, Something you find at the road is a t.v. ,C
65,0, Mowing the lawn requires zero people to accomplish the task. ,B
66,0, It is easy to see the stars on a clear day. ,B
67,0, she sipped a shoe ,A
68,0, Helicopters can speak English ,C
69,0, A normal person has 4 arms ,C
70,0, I finished my studies inside the sewer ,C
71,0, Eating loves me ,B
72,0, The sun comes out at night ,B
73,0, You can use your eyes to eat ,C
74,0, onions are grown in the tree ,B
75,0, You can open a jar with your teeth. ,C
76,0, Beer that is drunk by humans is white ,B
77,0, You should leave the lights on when you leave the room. ,C
78,0, You can dance anywhere. ,A
79,0, A train is used for sailing ,B
80,0, The boy wore his new shoes on his back. ,B
81,0, He drinks energy drinks before sleeping ,B
82,0, I use grass to cut my lawnmower. ,A
83,0, the owner of the restaurant apologized for the good customer service ,B
84,0, she eats a table for breakfast every day ,C
85,0, Molly ordered the AC on ,B
86,0, the comedian performed magic tricks ,C
87,0, SHE EAT A MOBILE PHONE ,B
88,0, Dolphins are fish. ,A
89,0," in summers, always the weather is cold. ",A
90,0, The animals bloomed in the spring ,B
91,0, The stone can float on the water ,B
92,0, He hide a lion in the closet. ,C
93,0, A soldier shot with a guitar. ,C
94,0, Breakfast is eating during the night. ,B
95,0, It is easy to find seashells in the forest ,B
96,0, She went to college to learn how to drive a car ,C
97,0, He can fly. ,B
98,0, The library is under a river downtown ,B
99,0, short is life ,B
100,0, Water is not healthy. ,C
101,0, eating trash food every day makes you stronger ,C
102,0, People like to eat land ,B
103,0, The reality readers live in is the same as the fictitious worlds authors create in fiction novels. ,B
104,0, He rides rockets all days ,B
105,0, Planes float on water. ,B
106,0, I can lit a car ,B
107,0, standing up for long hours is relaxing ,C
108,0, A stove sits on a pan ,B
109,0, I would like to fry a laptop ,A
110,0, The goldfish ate a cat. ,B
111,0, I put the leftover food in the oven. ,B
112,0, Lasagna is often eaten during movies. ,B
113,0, You are more likely to overeat on a full stomach. ,B
114,0, the cow had a significant amount of rust ,C
115,0, She turned the sun off. ,C
116,0, I need to heat up some water using the refrigerator ,B
117,0, The bird rented a room ,C
118,0, he always wins the lottery ,C
119,0, The apple is a well-designed vehicle. ,A
120,0, people usually have their lunch in the morning ,B
121,0, The man slipped on the gentle breeze ,B
122,0, the murder case remained a happy event ,B
123,0, He went to a petrol station to write the exam ,B
124,0, only eating fried food makes your diet healthier ,B
125,0, Amazon has gone bankrupt ,B
126,0, her favorite organ is the telephone ,B
127,0, The man went to the doctor because he needed to buy bread ,B
128,0, Fish swim in sand. ,B
129,0, lead is not poisonous ,B
130,0, He put the cat in the fridge ,A
131,0, To be a doctor you must only obtain the faith and trust of your patients. ,B
132,0, he put a giraffe on the back of his bike ,B
133,0, War is a good thing and benefits everyone. ,C
134,0, graphs have been known to cause cancer ,B
135,0, The worm swallowed the bird. ,B
136,0, he put some cooking oil in his wine ,B
137,0, I saw an elephant on a bicycle. ,B
138,0, the cow flew away ,B
139,0, the TV program entertains the fish ,B
140,0, Jerry has orange serfs with flamingos printed on them. ,B
141,0, His glasses are clear so he wipes them clean ,B
142,0, Zebra swim in the water ,A
143,0, he went for a walk in the woods and was bitten by a shark ,B
144,0, Some chocolate bars are molded metal. ,A
145,0, He puts the monkeys in the cup. ,B
146,0, The refrigerator cleaned the dirty clothes ,B
147,0, An apple took a bite out of him. ,B
148,0, He put a car into a fridge ,C
149,0, Winter is a good time to wear short dresses. ,B
150,0, An anvil is floating in the pond. ,C
151,0, He rides his apple. ,B
152,0, It usually snows in Cuba ,C
153,0, The park ran to him ,B
154,0, he put a semi-truck engine in the s2000 ,B
155,0, Zookeeper is working at the hospital ,A
156,0, The boy broke his tooth on a banana pit. ,C
157,0, He wrote a book by signing ,C
158,0, winter comes in the same time each year ,B
159,0, The video game ran away. ,C
160,0, Hair can be cut at the pharmacy. ,B
161,0, when it is hot humidity forms ,B
162,0, Snowmen are made of sand. ,B
163,0, he put the house into the fridge ,B
164,0, City Hall adjusted to man's view ,C
165,0, she drove a pencil ,C
166,0, I enter in a bottle ,C
167,0, she eats a pillow after her workout ,A
168,0, It is cold and hot outside ,C
169,0, The girl broke her lamp while ice skating. ,C
170,0, It is good to drink saltwater at night ,A
171,0, The boy won the race with a cheetah ,B
172,0, A home is a place for violence. ,B
173,0, I hung a horse in my hallway. ,C
174,0, Lobsters live in the mountains ,C
175,0, Children go to school to laugh ,B
176,0, She flew to church in her new car ,B
177,0, Blackberries and strawberries are the same. ,B
178,0, Freshwater fish can live in the ocean. ,C
179,0, The men are mowing the lawn because it is raining. ,B
180,0, I took 300 Tylenol tablets to cure my headache. ,B
181,0, Wheels are delicious for human taste ,B
182,0, CNN is for sports ,B
183,0, Going to a place that is too far to walk requires good tennis. ,B
184,0, She flies to the school everyday morning ,B
185,0," That morning, Kate had dinner and left for work ",B
186,0, The wind pushes the tree upright ,B
187,0, Circuses only have animals ,A
188,0, You need to see to write on paper. ,B
189,0, the chair plays video games ,B
190,0, robots are omniscient such as humans ,C
